cc,ucs,ge_pattern,status,total_terms,total_units,over_2_years,units_term_1,units_term_2,units_term_3,units_term_4,units_term_5,units_term_6,error
de_anza,UCSD,7CoursePattern,success,12,96.5,True,18.0,16.5,18,9,8,6,
de_anza,UCLA,7CoursePattern,success,12,76.5,True,16.5,18,6,6,6,6,
de_anza,UCI,7CoursePattern,success,12,69,True,18,18,6,3,3,3,
de_anza,UCR,7CoursePattern,success,12,69,True,18,18,6,3,3,3,
de_anza,UCSB,7CoursePattern,success,12,73.5,True,16.5,18,12,3,3,3,
de_anza,UCD,7CoursePattern,success,12,87,True,18,18,6,8,8,8,
de_anza,UCB,7CoursePattern,success,12,72,True,18,12,6,6,6,6,
de_anza,UCSC,7CoursePattern,success,12,96.0,True,16.5,16.5,18,8,8,8,
de_anza,UCM,7CoursePattern,success,12,84.0,True,16.5,16.5,15,6,6,6,
de_anza,UCLA+UCSD,7CoursePattern,success,12,87.0,True,18.0,18,12,6,6,6,
de_anza,UCI+UCSD,7CoursePattern,success,12,102.5,True,18.0,16.5,18,15,8,6,
de_anza,UCR+UCSD,7CoursePattern,success,12,92.0,True,16.5,16.5,18,6,8,6,
de_anza,UCSB+UCSD,7CoursePattern,success,12,81.0,True,18.0,18,18,3,3,3,
de_anza,UCD+UCSD,7CoursePattern,success,12,90.5,True,16.5,18,15,6,8,6,
de_anza,UCB+UCSD,7CoursePattern,success,12,94.5,True,18.0,16.5,18,9,6,6,
de_anza,UCSC+UCSD,7CoursePattern,success,12,93.5,True,18.0,16.5,18,6,8,6,
de_anza,UCM+UCSD,7CoursePattern,success,12,94.5,True,18.0,16.5,18,9,6,6,
de_anza,UCI+UCLA,7CoursePattern,success,12,85.5,True,16.5,18,15,6,6,6,
de_anza,UCLA+UCR,7CoursePattern,success,12,82.5,True,16.5,18,12,6,6,6,
de_anza,UCLA+UCSB,7CoursePattern,success,12,79.5,True,16.5,18,6,6,6,6,
de_anza,UCD+UCLA,7CoursePattern,success,12,81,True,18,18,6,6,6,6,
de_anza,UCB+UCLA,7CoursePattern,success,12,76.5,True,16.5,18,6,6,6,6,
de_anza,UCLA+UCSC,7CoursePattern,success,12,82.5,True,16.5,18,9,6,6,6,
de_anza,UCLA+UCM,7CoursePattern,success,12,76.5,True,16.5,18,6,6,6,6,
de_anza,UCI+UCR,7CoursePattern,success,12,78,True,18,18,15,3,3,3,
de_anza,UCI+UCSB,7CoursePattern,success,12,82.5,True,16.5,18,18,6,3,3,
de_anza,UCD+UCI,7CoursePattern,success,12,96,True,18,18,15,8,8,8,
de_anza,UCB+UCI,7CoursePattern,success,12,81,True,18,18,9,6,6,6,
de_anza,UCI+UCSC,7CoursePattern,success,12,102.0,True,16.5,16.5,18,14,8,8,
de_anza,UCI+UCM,7CoursePattern,success,12,93.0,True,16.5,16.5,18,12,6,6,
de_anza,UCR+UCSB,7CoursePattern,success,12,76.5,True,16.5,18,15,3,3,3,
de_anza,UCD+UCR,7CoursePattern,success,12,90,True,18,18,9,8,8,8,
de_anza,UCB+UCR,7CoursePattern,success,12,78,True,18,18,6,6,6,6,
de_anza,UCR+UCSC,7CoursePattern,success,12,99.0,True,16.5,16.5,18,11,8,8,
de_anza,UCM+UCR,7CoursePattern,success,12,87.0,True,16.5,16.5,18,6,6,6,
de_anza,UCD+UCSB,7CoursePattern,success,12,69,True,18,18,6,3,3,3,
de_anza,UCB+UCSB,7CoursePattern,success,12,73.5,True,16.5,18,12,3,3,3,
de_anza,UCSB+UCSC,7CoursePattern,success,12,76.5,True,16.5,18,15,3,3,3,
de_anza,UCM+UCSB,7CoursePattern,success,12,73.5,True,16.5,18,12,3,3,3,
de_anza,UCB+UCD,7CoursePattern,success,12,81,True,18,18,6,6,6,6,
de_anza,UCD+UCSC,7CoursePattern,success,12,87,True,18,18,6,8,8,8,
de_anza,UCD+UCM,7CoursePattern,success,12,81,True,18,18,6,6,6,6,
de_anza,UCB+UCSC,7CoursePattern,success,12,90.0,True,16.5,16.5,18,6,6,6,
de_anza,UCB+UCM,7CoursePattern,success,12,84.0,True,16.5,16.5,15,6,6,6,
de_anza,UCM+UCSC,7CoursePattern,success,12,90.0,True,16.5,16.5,18,6,6,6,
de_anza,UCI+UCLA+UCSD,7CoursePattern,success,12,96.0,True,18.0,18,18,9,6,6,
de_anza,UCLA+UCR+UCSD,7CoursePattern,success,12,85.5,True,16.5,18,12,6,6,6,
de_anza,UCLA+UCSB+UCSD,7CoursePattern,success,12,87.0,True,18.0,18,12,6,6,6,
de_anza,UCD+UCLA+UCSD,7CoursePattern,success,12,88.5,True,16.5,18,15,6,6,6,
de_anza,UCB+UCLA+UCSD,7CoursePattern,success,12,87.0,True,18.0,18,12,6,6,6,
de_anza,UCLA+UCSC+UCSD,7CoursePattern,success,12,90.0,True,18.0,18,15,6,6,6,
de_anza,UCLA+UCM+UCSD,7CoursePattern,success,12,87.0,True,18.0,18,12,6,6,6,
de_anza,UCI+UCR+UCSD,7CoursePattern,success,12,98.0,True,16.5,16.5,18,12,8,6,
de_anza,UCI+UCSB+UCSD,7CoursePattern,success,12,87.0,True,18.0,18,18,9,3,3,
de_anza,UCD+UCI+UCSD,7CoursePattern,success,12,92,True,18,18,15,6,8,6,
de_anza,UCB+UCI+UCSD,7CoursePattern,success,12,100.5,True,18.0,16.5,18,15,6,6,
de_anza,UCI+UCSC+UCSD,7CoursePattern,success,12,102.5,True,16.5,16.5,16.5,18,8,6,
de_anza,UCI+UCM+UCSD,7CoursePattern,success,12,100.5,True,18.0,16.5,18,15,6,6,
de_anza,UCR+UCSB+UCSD,7CoursePattern,success,12,76.5,True,16.5,18,15,3,3,3,
de_anza,UCD+UCR+UCSD,7CoursePattern,success,12,86,True,18,18,9,6,8,6,
de_anza,UCB+UCR+UCSD,7CoursePattern,success,12,90.0,True,16.5,16.5,18,6,6,6,
de_anza,UCR+UCSC+UCSD,7CoursePattern,success,12,92.0,True,16.5,16.5,18,6,8,6,
de_anza,UCM+UCR+UCSD,7CoursePattern,success,12,90.0,True,16.5,16.5,18,6,6,6,
de_anza,UCD+UCSB+UCSD,7CoursePattern,success,12,91.5,True,16.5,18,18,6,6,6,
de_anza,UCB+UCSB+UCSD,7CoursePattern,success,12,81.0,True,18.0,18,18,3,3,3,
de_anza,UCSB+UCSC+UCSD,7CoursePattern,success,12,78.0,True,18.0,18,15,3,3,3,
de_anza,UCM+UCSB+UCSD,7CoursePattern,success,12,81.0,True,18.0,18,18,3,3,3,
de_anza,UCB+UCD+UCSD,7CoursePattern,success,12,88.5,True,16.5,18,15,6,6,6,
de_anza,UCD+UCSC+UCSD,7CoursePattern,success,12,90.5,True,16.5,18,15,6,8,6,
de_anza,UCD+UCM+UCSD,7CoursePattern,success,12,88.5,True,16.5,18,15,6,6,6,
de_anza,UCB+UCSC+UCSD,7CoursePattern,success,12,91.5,True,18.0,16.5,18,6,6,6,
de_anza,UCB+UCM+UCSD,7CoursePattern,success,12,94.5,True,18.0,16.5,18,9,6,6,
de_anza,UCM+UCSC+UCSD,7CoursePattern,success,12,91.5,True,18.0,16.5,18,6,6,6,
de_anza,UCI+UCLA+UCR,7CoursePattern,success,12,91.5,True,16.5,18,18,9,6,6,
de_anza,UCI+UCLA+UCSB,7CoursePattern,success,12,88.5,True,16.5,18,15,6,6,6,
de_anza,UCD+UCI+UCLA,7CoursePattern,success,12,90,True,18,18,15,6,6,6,
de_anza,UCB+UCI+UCLA,7CoursePattern,success,12,85.5,True,16.5,18,15,6,6,6,
de_anza,UCI+UCLA+UCSC,7CoursePattern,success,12,91.5,True,16.5,18,18,6,6,6,
de_anza,UCI+UCLA+UCM,7CoursePattern,success,12,85.5,True,16.5,18,15,6,6,6,
de_anza,UCLA+UCR+UCSB,7CoursePattern,success,12,85.5,True,16.5,18,12,6,6,6,
de_anza,UCD+UCLA+UCR,7CoursePattern,success,12,84,True,18,18,9,6,6,6,
de_anza,UCB+UCLA+UCR,7CoursePattern,success,12,82.5,True,16.5,18,12,6,6,6,
de_anza,UCLA+UCR+UCSC,7CoursePattern,success,12,88.5,True,16.5,18,15,6,6,6,
de_anza,UCLA+UCM+UCR,7CoursePattern,success,12,82.5,True,16.5,18,12,6,6,6,
de_anza,UCD+UCLA+UCSB,7CoursePattern,success,12,66,True,18,18,3,3,3,3,
de_anza,UCB+UCLA+UCSB,7CoursePattern,success,12,79.5,True,16.5,18,6,6,6,6,
de_anza,UCLA+UCSB+UCSC,7CoursePattern,success,12,67.5,True,16.5,18,6,3,3,3,
de_anza,UCLA+UCM+UCSB,7CoursePattern,success,12,79.5,True,16.5,18,6,6,6,6,
de_anza,UCB+UCD+UCLA,7CoursePattern,success,12,81,True,18,18,6,6,6,6,
de_anza,UCD+UCLA+UCSC,7CoursePattern,success,12,81,True,18,18,6,6,6,6,
de_anza,UCD+UCLA+UCM,7CoursePattern,success,12,81,True,18,18,6,6,6,6,
de_anza,UCB+UCLA+UCSC,7CoursePattern,success,12,82.5,True,16.5,18,9,6,6,6,
de_anza,UCB+UCLA+UCM,7CoursePattern,success,12,76.5,True,16.5,18,6,6,6,6,
de_anza,UCLA+UCM+UCSC,7CoursePattern,success,12,82.5,True,16.5,18,9,6,6,6,
de_anza,UCI+UCR+UCSB,7CoursePattern,success,12,82.5,True,16.5,18,18,6,3,3,
de_anza,UCD+UCI+UCR,7CoursePattern,success,12,99,True,18,18,18,8,8,8,
de_anza,UCB+UCI+UCR,7CoursePattern,success,12,87,True,18,18,15,6,6,6,
de_anza,UCI+UCR+UCSC,7CoursePattern,success,12,108.0,True,18,16.5,16.5,17,11,8,
de_anza,UCI+UCM+UCR,7CoursePattern,success,12,93.0,True,16.5,16.5,18,12,6,6,
de_anza,UCD+UCI+UCSB,7CoursePattern,success,12,78,True,18,18,15,3,3,3,
de_anza,UCB+UCI+UCSB,7CoursePattern,success,12,82.5,True,16.5,18,18,6,3,3,
de_anza,UCI+UCSB+UCSC,7CoursePattern,success,12,82.5,True,16.5,18,18,6,3,3,
de_anza,UCI+UCM+UCSB,7CoursePattern,success,12,82.5,True,16.5,18,18,6,3,3,
de_anza,UCB+UCD+UCI,7CoursePattern,success,12,90,True,18,18,15,6,6,6,
de_anza,UCD+UCI+UCSC,7CoursePattern,success,12,96,True,18,18,15,8,8,8,
de_anza,UCD+UCI+UCM,7CoursePattern,success,12,90,True,18,18,15,6,6,6,
de_anza,UCB+UCI+UCSC,7CoursePattern,success,12,96.0,True,16.5,16.5,18,12,6,6,
de_anza,UCB+UCI+UCM,7CoursePattern,success,12,93.0,True,16.5,16.5,18,12,6,6,
de_anza,UCI+UCM+UCSC,7CoursePattern,success,12,96.0,True,16.5,16.5,18,12,6,6,
de_anza,UCD+UCR+UCSB,7CoursePattern,success,12,72,True,18,18,9,3,3,3,
de_anza,UCB+UCR+UCSB,7CoursePattern,success,12,76.5,True,16.5,18,15,3,3,3,
de_anza,UCR+UCSB+UCSC,7CoursePattern,success,12,79.5,True,16.5,18,18,3,3,3,
de_anza,UCM+UCR+UCSB,7CoursePattern,success,12,76.5,True,16.5,18,15,3,3,3,
de_anza,UCB+UCD+UCR,7CoursePattern,success,12,84,True,18,18,9,6,6,6,
de_anza,UCD+UCR+UCSC,7CoursePattern,success,12,90,True,18,18,9,8,8,8,
de_anza,UCD+UCM+UCR,7CoursePattern,success,12,84,True,18,18,9,6,6,6,
de_anza,UCB+UCR+UCSC,7CoursePattern,success,12,93.0,True,16.5,16.5,18,9,6,6,
de_anza,UCB+UCM+UCR,7CoursePattern,success,12,87.0,True,16.5,16.5,18,6,6,6,
de_anza,UCM+UCR+UCSC,7CoursePattern,success,12,93.0,True,16.5,16.5,18,9,6,6,
de_anza,UCB+UCD+UCSB,7CoursePattern,success,12,69,True,18,18,6,3,3,3,
de_anza,UCD+UCSB+UCSC,7CoursePattern,success,12,69,True,18,18,6,3,3,3,
de_anza,UCD+UCM+UCSB,7CoursePattern,success,12,69,True,18,18,6,3,3,3,
de_anza,UCB+UCSB+UCSC,7CoursePattern,success,12,76.5,True,16.5,18,15,3,3,3,
de_anza,UCB+UCM+UCSB,7CoursePattern,success,12,73.5,True,16.5,18,12,3,3,3,
de_anza,UCM+UCSB+UCSC,7CoursePattern,success,12,76.5,True,16.5,18,15,3,3,3,
de_anza,UCB+UCD+UCSC,7CoursePattern,success,12,81,True,18,18,6,6,6,6,
