cc,ucs,uc_count,ge_pattern,status,total_terms,total_units,over_2_years,major_courses_total,ge_courses_total,units_term_1,units_term_2,units_term_3,units_term_4,units_term_5,units_term_6,error
diablo_valley,UCSD,1,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCLA,1,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCI,1,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCR,1,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCSB,1,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCD,1,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCB,1,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCSC,1,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCM,1,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCLA+UCSD,2,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCI+UCSD,2,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCR+UCSD,2,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCSB+UCSD,2,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCD+UCSD,2,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCB+UCSD,2,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCSC+UCSD,2,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCM+UCSD,2,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCI+UCLA,2,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCLA+UCR,2,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCLA+UCSB,2,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCD+UCLA,2,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCB+UCLA,2,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCLA+UCSC,2,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCLA+UCM,2,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCI+UCR,2,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCI+UCSB,2,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCD+UCI,2,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCB+UCI,2,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCI+UCSC,2,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCI+UCM,2,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCR+UCSB,2,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCD+UCR,2,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCB+UCR,2,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCR+UCSC,2,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCM+UCR,2,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCD+UCSB,2,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCB+UCSB,2,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCSB+UCSC,2,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCM+UCSB,2,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCB+UCD,2,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCD+UCSC,2,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCD+UCM,2,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCB+UCSC,2,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCB+UCM,2,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCM+UCSC,2,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCI+UCLA+UCSD,3,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCLA+UCR+UCSD,3,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCLA+UCSB+UCSD,3,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCD+UCLA+UCSD,3,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCB+UCLA+UCSD,3,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCLA+UCSC+UCSD,3,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCLA+UCM+UCSD,3,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCI+UCR+UCSD,3,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCI+UCSB+UCSD,3,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCD+UCI+UCSD,3,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCB+UCI+UCSD,3,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCI+UCSC+UCSD,3,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCI+UCM+UCSD,3,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCR+UCSB+UCSD,3,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCD+UCR+UCSD,3,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCB+UCR+UCSD,3,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCR+UCSC+UCSD,3,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCM+UCR+UCSD,3,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCD+UCSB+UCSD,3,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCB+UCSB+UCSD,3,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCSB+UCSC+UCSD,3,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCM+UCSB+UCSD,3,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCB+UCD+UCSD,3,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCD+UCSC+UCSD,3,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCD+UCM+UCSD,3,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCB+UCSC+UCSD,3,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCB+UCM+UCSD,3,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCM+UCSC+UCSD,3,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCI+UCLA+UCR,3,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCI+UCLA+UCSB,3,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCD+UCI+UCLA,3,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCB+UCI+UCLA,3,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCI+UCLA+UCSC,3,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCI+UCLA+UCM,3,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCLA+UCR+UCSB,3,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCD+UCLA+UCR,3,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCB+UCLA+UCR,3,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCLA+UCR+UCSC,3,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCLA+UCM+UCR,3,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCD+UCLA+UCSB,3,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCB+UCLA+UCSB,3,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCLA+UCSB+UCSC,3,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCLA+UCM+UCSB,3,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCB+UCD+UCLA,3,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCD+UCLA+UCSC,3,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCD+UCLA+UCM,3,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCB+UCLA+UCSC,3,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCB+UCLA+UCM,3,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCLA+UCM+UCSC,3,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCI+UCR+UCSB,3,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCD+UCI+UCR,3,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCB+UCI+UCR,3,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCI+UCR+UCSC,3,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCI+UCM+UCR,3,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCD+UCI+UCSB,3,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCB+UCI+UCSB,3,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCI+UCSB+UCSC,3,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCI+UCM+UCSB,3,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCB+UCD+UCI,3,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCD+UCI+UCSC,3,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCD+UCI+UCM,3,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCB+UCI+UCSC,3,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCB+UCI+UCM,3,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCI+UCM+UCSC,3,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCD+UCR+UCSB,3,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCB+UCR+UCSB,3,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCR+UCSB+UCSC,3,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCM+UCR+UCSB,3,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCB+UCD+UCR,3,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCD+UCR+UCSC,3,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCD+UCM+UCR,3,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCB+UCR+UCSC,3,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCB+UCM+UCR,3,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCM+UCR+UCSC,3,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCB+UCD+UCSB,3,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCD+UCSB+UCSC,3,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCD+UCM+UCSB,3,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCB+UCSB+UCSC,3,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCB+UCM+UCSB,3,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCM+UCSB+UCSC,3,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCB+UCD+UCSC,3,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCB+UCD+UCM,3,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCD+UCM+UCSC,3,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCB+UCM+UCSC,3,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCI+UCLA+UCR+UCSD,4,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
diablo_valley,UCI+UCLA+UCSB+UCSD,4,IGETC,success,6,86,True,12,12,15,15,15,15,14,12,
