cc,ucs,uc_count,ge_pattern,status,total_terms,total_units,over_2_years,major_courses_total,ge_courses_total,units_term_1,units_term_2,units_term_3,units_term_4,units_term_5,units_term_6,error
las_positas,UCSD,1,IGETC,success,6,81.0,True,11,12,15,15,14.5,14.5,13,9,
las_positas,UCLA,1,IGETC,success,6,81.0,True,11,12,15,15,14.5,14.5,13,9,
las_positas,UCI,1,IGETC,success,6,81.0,True,11,12,15,15,14.5,14.5,13,9,
las_positas,UCR,1,IGETC,success,6,81.0,True,11,12,15,15,14.5,14.5,13,9,
las_positas,UCSB,1,IGETC,success,6,81.0,True,11,12,15,15,14.5,14.5,13,9,
las_positas,UCD,1,IGETC,success,6,81.0,True,11,12,15,15,14.5,14.5,13,9,
las_positas,UCB,1,IGETC,success,6,81.0,True,11,12,15,15,14.5,14.5,13,9,
las_positas,UCSC,1,IGETC,success,6,81.0,True,11,12,15,15,14.5,14.5,13,9,
las_positas,UCM,1,IGETC,success,6,81.0,True,11,12,15,15,14.5,14.5,13,9,
las_positas,UCLA+UCSD,2,IGETC,success,6,81.0,True,11,12,15,15,14.5,14.5,13,9,
las_positas,UCI+UCSD,2,IGETC,success,6,81.0,True,11,12,15,15,14.5,14.5,13,9,
las_positas,UCR+UCSD,2,IGETC,success,6,81.0,True,11,12,15,15,14.5,14.5,13,9,
las_positas,UCSB+UCSD,2,IGETC,success,6,81.0,True,11,12,15,15,14.5,14.5,13,9,
las_positas,UCD+UCSD,2,IGETC,success,6,81.0,True,11,12,15,15,14.5,14.5,13,9,
las_positas,UCB+UCSD,2,IGETC,success,6,81.0,True,11,12,15,15,14.5,14.5,13,9,
las_positas,UCSC+UCSD,2,IGETC,success,6,81.0,True,11,12,15,15,14.5,14.5,13,9,
las_positas,UCM+UCSD,2,IGETC,success,6,81.0,True,11,12,15,15,14.5,14.5,13,9,
las_positas,UCI+UCLA,2,IGETC,success,6,81.0,True,11,12,15,15,14.5,14.5,13,9,
las_positas,UCLA+UCR,2,IGETC,success,6,81.0,True,11,12,15,15,14.5,14.5,13,9,
las_positas,UCLA+UCSB,2,IGETC,success,6,81.0,True,11,12,15,15,14.5,14.5,13,9,
las_positas,UCD+UCLA,2,IGETC,success,6,81.0,True,11,12,15,15,14.5,14.5,13,9,
las_positas,UCB+UCLA,2,IGETC,success,6,81.0,True,11,12,15,15,14.5,14.5,13,9,
