cc,ucs,uc_count,ge_pattern,status,total_terms,total_units,over_2_years,major_courses_total,ge_courses_total,units_term_1,units_term_2,units_term_3,units_term_4,units_term_5,units_term_6,error
los_angeles_city_college,UCSD,1,IGETC,success,3,36,False,0,12,15,15,6,0,0,0,
los_angeles_city_college,UCLA,1,IGETC,success,3,36,False,0,12,15,15,6,0,0,0,
los_angeles_city_college,UCI,1,IGETC,success,3,36,False,0,12,15,15,6,0,0,0,
los_angeles_city_college,UCR,1,IGETC,success,3,36,False,0,12,15,15,6,0,0,0,
los_angeles_city_college,UCSB,1,IGETC,success,3,36,False,0,12,15,15,6,0,0,0,
los_angeles_city_college,UCD,1,IGETC,success,3,36,False,0,12,15,15,6,0,0,0,
los_angeles_city_college,UCB,1,IGETC,success,3,36,False,0,12,15,15,6,0,0,0,
los_angeles_city_college,UCSC,1,IGETC,success,3,36,False,0,12,15,15,6,0,0,0,
los_angeles_city_college,UCM,1,IGETC,success,3,36,False,0,12,15,15,6,0,0,0,
los_angeles_city_college,UCLA+UCSD,2,IGETC,success,3,36,False,0,12,15,15,6,0,0,0,
los_angeles_city_college,UCI+UCSD,2,IGETC,success,3,36,False,0,12,15,15,6,0,0,0,
los_angeles_city_college,UCR+UCSD,2,IGETC,success,3,36,False,0,12,15,15,6,0,0,0,
los_angeles_city_college,UCSB+UCSD,2,IGETC,success,3,36,False,0,12,15,15,6,0,0,0,
los_angeles_city_college,UCD+UCSD,2,IGETC,success,3,36,False,0,12,15,15,6,0,0,0,
los_angeles_city_college,UCB+UCSD,2,IGETC,success,3,36,False,0,12,15,15,6,0,0,0,
los_angeles_city_college,UCSC+UCSD,2,IGETC,success,3,36,False,0,12,15,15,6,0,0,0,
los_angeles_city_college,UCM+UCSD,2,IGETC,success,3,36,False,0,12,15,15,6,0,0,0,
los_angeles_city_college,UCI+UCLA,2,IGETC,success,3,36,False,0,12,15,15,6,0,0,0,
los_angeles_city_college,UCLA+UCR,2,IGETC,success,3,36,False,0,12,15,15,6,0,0,0,
los_angeles_city_college,UCLA+UCSB,2,IGETC,success,3,36,False,0,12,15,15,6,0,0,0,
los_angeles_city_college,UCD+UCLA,2,IGETC,success,3,36,False,0,12,15,15,6,0,0,0,
los_angeles_city_college,UCB+UCLA,2,IGETC,success,3,36,False,0,12,15,15,6,0,0,0,
los_angeles_city_college,UCLA+UCSC,2,IGETC,success,3,36,False,0,12,15,15,6,0,0,0,
los_angeles_city_college,UCLA+UCM,2,IGETC,success,3,36,False,0,12,15,15,6,0,0,0,
los_angeles_city_college,UCI+UCR,2,IGETC,success,3,36,False,0,12,15,15,6,0,0,0,
los_angeles_city_college,UCI+UCSB,2,IGETC,success,3,36,False,0,12,15,15,6,0,0,0,
los_angeles_city_college,UCD+UCI,2,IGETC,success,3,36,False,0,12,15,15,6,0,0,0,
los_angeles_city_college,UCB+UCI,2,IGETC,success,3,36,False,0,12,15,15,6,0,0,0,
los_angeles_city_college,UCI+UCSC,2,IGETC,success,3,36,False,0,12,15,15,6,0,0,0,
los_angeles_city_college,UCI+UCM,2,IGETC,success,3,36,False,0,12,15,15,6,0,0,0,
los_angeles_city_college,UCR+UCSB,2,IGETC,success,3,36,False,0,12,15,15,6,0,0,0,
los_angeles_city_college,UCD+UCR,2,IGETC,success,3,36,False,0,12,15,15,6,0,0,0,
los_angeles_city_college,UCB+UCR,2,IGETC,success,3,36,False,0,12,15,15,6,0,0,0,
los_angeles_city_college,UCR+UCSC,2,IGETC,success,3,36,False,0,12,15,15,6,0,0,0,
los_angeles_city_college,UCM+UCR,2,IGETC,success,3,36,False,0,12,15,15,6,0,0,0,
los_angeles_city_college,UCD+UCSB,2,IGETC,success,3,36,False,0,12,15,15,6,0,0,0,
los_angeles_city_college,UCB+UCSB,2,IGETC,success,3,36,False,0,12,15,15,6,0,0,0,
los_angeles_city_college,UCSB+UCSC,2,IGETC,success,3,36,False,0,12,15,15,6,0,0,0,
los_angeles_city_college,UCM+UCSB,2,IGETC,success,3,36,False,0,12,15,15,6,0,0,0,
los_angeles_city_college,UCB+UCD,2,IGETC,success,3,36,False,0,12,15,15,6,0,0,0,
los_angeles_city_college,UCD+UCSC,2,IGETC,success,3,36,False,0,12,15,15,6,0,0,0,
los_angeles_city_college,UCD+UCM,2,IGETC,success,3,36,False,0,12,15,15,6,0,0,0,
los_angeles_city_college,UCB+UCSC,2,IGETC,success,3,36,False,0,12,15,15,6,0,0,0,
los_angeles_city_college,UCB+UCM,2,IGETC,success,3,36,False,0,12,15,15,6,0,0,0,
