cc,ucs,ge_pattern,status,total_terms,total_units,over_2_years,units_term_1,units_term_2,units_term_3,units_term_4,units_term_5,units_term_6,error
los_angeles_pierce,UCSD,7CoursePattern,success,12,78,True,18,18,15,3,3,3,
los_angeles_pierce,UCLA,7CoursePattern,success,12,72,True,18,15,12,3,3,3,
los_angeles_pierce,UCI,7CoursePattern,success,12,66,True,18,18,3,3,3,3,
los_angeles_pierce,UCR,7CoursePattern,success,12,69,True,18,18,6,3,3,3,
los_angeles_pierce,UCSB,7CoursePattern,success,12,78,True,18,18,15,3,3,3,
los_angeles_pierce,UCD,7CoursePattern,success,12,84,True,18,18,18,6,3,3,
los_angeles_pierce,UCB,7CoursePattern,success,12,69,True,18,12,12,3,3,3,
los_angeles_pierce,UCSC,7CoursePattern,success,12,75,True,18,18,12,3,3,3,
los_angeles_pierce,UCM,7CoursePattern,success,12,78,True,18,18,15,3,3,3,
los_angeles_pierce,UCLA+UCSD,7CoursePattern,success,12,81,True,18,18,18,3,3,3,
los_angeles_pierce,UCI+UCSD,7CoursePattern,success,12,81,True,18,18,18,3,3,3,
los_angeles_pierce,UCR+UCSD,7CoursePattern,success,12,84,True,18,18,18,6,3,3,
los_angeles_pierce,UCSB+UCSD,7CoursePattern,success,12,84,True,18,18,18,6,3,3,
los_angeles_pierce,UCD+UCSD,7CoursePattern,success,12,87,True,18,18,18,9,3,3,
los_angeles_pierce,UCB+UCSD,7CoursePattern,success,12,81,True,18,18,18,3,3,3,
los_angeles_pierce,UCSC+UCSD,7CoursePattern,success,12,81,True,18,18,18,3,3,3,
los_angeles_pierce,UCM+UCSD,7CoursePattern,success,12,81,True,18,18,18,3,3,3,
los_angeles_pierce,UCI+UCLA,7CoursePattern,success,12,75,True,18,18,12,3,3,3,
los_angeles_pierce,UCLA+UCR,7CoursePattern,success,12,78,True,18,18,15,3,3,3,
los_angeles_pierce,UCLA+UCSB,7CoursePattern,success,12,84,True,18,18,18,6,3,3,
los_angeles_pierce,UCD+UCLA,7CoursePattern,success,12,90,True,18,18,18,12,3,3,
