cc,ucs,ge_pattern,status,total_terms,total_units,over_2_years,units_term_1,units_term_2,units_term_3,units_term_4,units_term_5,units_term_6,error
los_angeles_pierce,UCSD,IGETC,success,4,60,False,18,18,18,6,0,0,
los_angeles_pierce,UCLA,IGETC,success,3,54,False,18,18,18,0,0,0,
los_angeles_pierce,UCI,IGETC,success,3,48,False,18,18,12,0,0,0,
los_angeles_pierce,UCR,IGETC,success,3,51,False,18,18,15,0,0,0,
los_angeles_pierce,UCSB,IGETC,success,4,60,False,18,18,18,6,0,0,
los_angeles_pierce,UCD,IGETC,success,4,66,False,18,18,18,12,0,0,
los_angeles_pierce,UCB,IGETC,success,3,51,False,18,18,15,0,0,0,
los_angeles_pierce,UCSC,IGETC,success,4,57,False,18,18,18,3,0,0,
los_angeles_pierce,UCM,IGETC,success,4,60,False,18,18,18,6,0,0,
los_angeles_pierce,UCLA+UCSD,IGETC,success,4,63,False,18,18,18,9,0,0,
los_angeles_pierce,UCI+UCSD,IGETC,success,4,63,False,18,18,18,9,0,0,
los_angeles_pierce,UCR+UCSD,IGETC,success,4,66,False,18,18,18,12,0,0,
los_angeles_pierce,UCSB+UCSD,IGETC,success,4,66,False,18,18,18,12,0,0,
los_angeles_pierce,UCD+UCSD,IGETC,success,4,69,False,18,18,18,15,0,0,
los_angeles_pierce,UCB+UCSD,IGETC,success,4,63,False,18,18,18,9,0,0,
los_angeles_pierce,UCSC+UCSD,IGETC,success,4,63,False,18,18,18,9,0,0,
los_angeles_pierce,UCM+UCSD,IGETC,success,4,63,False,18,18,18,9,0,0,
los_angeles_pierce,UCI+UCLA,IGETC,success,4,57,False,18,18,18,3,0,0,
los_angeles_pierce,UCLA+UCR,IGETC,success,4,60,False,18,18,18,6,0,0,
los_angeles_pierce,UCLA+UCSB,IGETC,success,4,66,False,18,18,18,12,0,0,
los_angeles_pierce,UCD+UCLA,IGETC,success,5,72,True,18,18,18,15,3,0,
los_angeles_pierce,UCB+UCLA,IGETC,success,3,54,False,18,18,18,0,0,0,
los_angeles_pierce,UCLA+UCSC,IGETC,success,4,69,False,18,18,18,15,0,0,
los_angeles_pierce,UCLA+UCM,IGETC,success,4,63,False,18,18,18,9,0,0,
los_angeles_pierce,UCI+UCR,IGETC,success,3,51,False,18,18,15,0,0,0,
los_angeles_pierce,UCI+UCSB,IGETC,success,4,66,False,18,18,18,12,0,0,
