cc,ucs,uc_count,ge_pattern,status,total_terms,total_units,over_2_years,major_courses_total,ge_courses_total,units_term_1,units_term_2,units_term_3,units_term_4,units_term_5,units_term_6,error
miracosta,UCSD,1,IGETC,success,5,70,True,9,12,14,14,15,15,12,0,
miracosta,UCLA,1,IGETC,success,5,70,True,9,12,14,14,15,15,12,0,
miracosta,UCI,1,IGETC,success,5,70,True,9,12,14,14,15,15,12,0,
miracosta,UCR,1,IGETC,success,5,70,True,9,12,14,14,15,15,12,0,
miracosta,UCSB,1,IGETC,success,5,70,True,9,12,14,14,15,15,12,0,
miracosta,UCD,1,IGETC,success,5,70,True,9,12,14,14,15,15,12,0,
miracosta,UCB,1,IGETC,success,5,70,True,9,12,14,14,15,15,12,0,
miracosta,UCSC,1,IGETC,success,5,70,True,9,12,14,14,15,15,12,0,
miracosta,UCM,1,IGETC,success,5,70,True,9,12,14,14,15,15,12,0,
miracosta,UCLA+UCSD,2,IGETC,success,5,70,True,9,12,14,14,15,15,12,0,
miracosta,UCI+UCSD,2,IGETC,success,5,70,True,9,12,14,14,15,15,12,0,
miracosta,UCR+UCSD,2,IGETC,success,5,70,True,9,12,14,14,15,15,12,0,
miracosta,UCSB+UCSD,2,IGETC,success,5,70,True,9,12,14,14,15,15,12,0,
miracosta,UCD+UCSD,2,IGETC,success,5,70,True,9,12,14,14,15,15,12,0,
miracosta,UCB+UCSD,2,IGETC,success,5,70,True,9,12,14,14,15,15,12,0,
miracosta,UCSC+UCSD,2,IGETC,success,5,70,True,9,12,14,14,15,15,12,0,
miracosta,UCM+UCSD,2,IGETC,success,5,70,True,9,12,14,14,15,15,12,0,
miracosta,UCI+UCLA,2,IGETC,success,5,70,True,9,12,14,14,15,15,12,0,
miracosta,UCLA+UCR,2,IGETC,success,5,70,True,9,12,14,14,15,15,12,0,
miracosta,UCLA+UCSB,2,IGETC,success,5,70,True,9,12,14,14,15,15,12,0,
miracosta,UCD+UCLA,2,IGETC,success,5,70,True,9,12,14,14,15,15,12,0,
miracosta,UCB+UCLA,2,IGETC,success,5,70,True,9,12,14,14,15,15,12,0,
miracosta,UCLA+UCSC,2,IGETC,success,5,70,True,9,12,14,14,15,15,12,0,
miracosta,UCLA+UCM,2,IGETC,success,5,70,True,9,12,14,14,15,15,12,0,
miracosta,UCI+UCR,2,IGETC,success,5,70,True,9,12,14,14,15,15,12,0,
