cc,ucs,ge_pattern,status,total_terms,total_units,over_2_years,units_term_1,units_term_2,units_term_3,units_term_4,units_term_5,units_term_6,error
orange_coast,UCSD,IGETC,success,4,58,False,18,16,18,6,0,0,
orange_coast,UCLA,IGETC,success,3,50,False,18,17,15,0,0,0,
orange_coast,UCI,IGETC,success,3,45,False,18,18,9,0,0,0,
orange_coast,UCR,IGETC,success,3,50,False,18,17,15,0,0,0,
orange_coast,UCSB,IGETC,success,3,42,False,18,18,6,0,0,0,
orange_coast,UCD,IGETC,success,3,53,False,18,17,18,0,0,0,
orange_coast,UCB,IGETC,success,3,50,False,18,17,15,0,0,0,
orange_coast,UCSC,IGETC,success,3,42,False,18,18,6,0,0,0,
orange_coast,UCM,IGETC,success,3,53,False,18,17,18,0,0,0,
orange_coast,UCLA+UCSD,IGETC,success,4,57,False,18,18,18,3,0,0,
orange_coast,UCI+UCSD,IGETC,success,4,61,False,18,16,18,9,0,0,
orange_coast,UCR+UCSD,IGETC,success,4,57,False,18,18,18,3,0,0,
orange_coast,UCSB+UCSD,IGETC,success,4,57,False,18,18,18,3,0,0,
orange_coast,UCD+UCSD,IGETC,success,4,64,False,18,16,18,12,0,0,
orange_coast,UCB+UCSD,IGETC,success,4,58,False,18,16,18,6,0,0,
orange_coast,UCSC+UCSD,IGETC,success,4,61,False,18,16,18,9,0,0,
orange_coast,UCM+UCSD,IGETC,success,4,58,False,18,16,18,6,0,0,
orange_coast,UCI+UCLA,IGETC,success,3,51,False,18,18,15,0,0,0,
orange_coast,UCLA+UCR,IGETC,success,3,51,False,18,18,15,0,0,0,
orange_coast,UCLA+UCSB,IGETC,success,3,50,False,18,17,15,0,0,0,
orange_coast,UCD+UCLA,IGETC,success,4,56,False,18,17,18,3,0,0,
orange_coast,UCB+UCLA,IGETC,success,3,50,False,18,17,15,0,0,0,
orange_coast,UCLA+UCSC,IGETC,success,3,53,False,18,17,18,0,0,0,
orange_coast,UCLA+UCM,IGETC,success,3,50,False,18,17,15,0,0,0,
orange_coast,UCI+UCR,IGETC,success,3,48,False,18,18,12,0,0,0,
orange_coast,UCI+UCSB,IGETC,success,3,48,False,18,18,12,0,0,0,
orange_coast,UCD+UCI,IGETC,success,3,54,False,18,18,18,0,0,0,
orange_coast,UCB+UCI,IGETC,success,3,51,False,18,18,15,0,0,0,
