cc,ucs,uc_count,ge_pattern,status,total_terms,total_units,over_2_years,major_courses_total,ge_courses_total,units_term_1,units_term_2,units_term_3,units_term_4,units_term_5,units_term_6,error
orange_coast,UCSD,1,IGETC,success,5,59,True,5,12,14,13,14,15,3,0,
orange_coast,UCLA,1,IGETC,success,5,59,True,5,12,14,13,14,15,3,0,
orange_coast,UCI,1,IGETC,success,5,59,True,5,12,14,13,14,15,3,0,
orange_coast,UCR,1,IGETC,success,5,59,True,5,12,14,13,14,15,3,0,
orange_coast,UCSB,1,IGETC,success,5,59,True,5,12,14,13,14,15,3,0,
orange_coast,UCD,1,IGETC,success,5,59,True,5,12,14,13,14,15,3,0,
orange_coast,UCB,1,IGETC,success,5,59,True,5,12,14,13,14,15,3,0,
orange_coast,UCSC,1,IGETC,success,5,59,True,5,12,14,13,14,15,3,0,
orange_coast,UCM,1,IGETC,success,5,59,True,5,12,14,13,14,15,3,0,
orange_coast,UCLA+UCSD,2,IGETC,success,5,59,True,5,12,14,13,14,15,3,0,
orange_coast,UCI+UCSD,2,IGETC,success,5,59,True,5,12,14,13,14,15,3,0,
orange_coast,UCR+UCSD,2,IGETC,success,5,59,True,5,12,14,13,14,15,3,0,
orange_coast,UCSB+UCSD,2,IGETC,success,5,59,True,5,12,14,13,14,15,3,0,
orange_coast,UCD+UCSD,2,IGETC,success,5,59,True,5,12,14,13,14,15,3,0,
orange_coast,UCB+UCSD,2,IGETC,success,5,59,True,5,12,14,13,14,15,3,0,
orange_coast,UCSC+UCSD,2,IGETC,success,5,59,True,5,12,14,13,14,15,3,0,
orange_coast,UCM+UCSD,2,IGETC,success,5,59,True,5,12,14,13,14,15,3,0,
orange_coast,UCI+UCLA,2,IGETC,success,5,59,True,5,12,14,13,14,15,3,0,
orange_coast,UCLA+UCR,2,IGETC,success,5,59,True,5,12,14,13,14,15,3,0,
orange_coast,UCLA+UCSB,2,IGETC,success,5,59,True,5,12,14,13,14,15,3,0,
orange_coast,UCD+UCLA,2,IGETC,success,5,59,True,5,12,14,13,14,15,3,0,
orange_coast,UCB+UCLA,2,IGETC,success,5,59,True,5,12,14,13,14,15,3,0,
orange_coast,UCLA+UCSC,2,IGETC,success,5,59,True,5,12,14,13,14,15,3,0,
orange_coast,UCLA+UCM,2,IGETC,success,5,59,True,5,12,14,13,14,15,3,0,
orange_coast,UCI+UCR,2,IGETC,success,5,59,True,5,12,14,13,14,15,3,0,
orange_coast,UCI+UCSB,2,IGETC,success,5,59,True,5,12,14,13,14,15,3,0,
orange_coast,UCD+UCI,2,IGETC,success,5,59,True,5,12,14,13,14,15,3,0,
orange_coast,UCB+UCI,2,IGETC,success,5,59,True,5,12,14,13,14,15,3,0,
orange_coast,UCI+UCSC,2,IGETC,success,5,59,True,5,12,14,13,14,15,3,0,
orange_coast,UCI+UCM,2,IGETC,success,5,59,True,5,12,14,13,14,15,3,0,
orange_coast,UCR+UCSB,2,IGETC,success,5,59,True,5,12,14,13,14,15,3,0,
orange_coast,UCD+UCR,2,IGETC,success,5,59,True,5,12,14,13,14,15,3,0,
orange_coast,UCB+UCR,2,IGETC,success,5,59,True,5,12,14,13,14,15,3,0,
orange_coast,UCR+UCSC,2,IGETC,success,5,59,True,5,12,14,13,14,15,3,0,
orange_coast,UCM+UCR,2,IGETC,success,5,59,True,5,12,14,13,14,15,3,0,
orange_coast,UCD+UCSB,2,IGETC,success,5,59,True,5,12,14,13,14,15,3,0,
orange_coast,UCB+UCSB,2,IGETC,success,5,59,True,5,12,14,13,14,15,3,0,
orange_coast,UCSB+UCSC,2,IGETC,success,5,59,True,5,12,14,13,14,15,3,0,
orange_coast,UCM+UCSB,2,IGETC,success,5,59,True,5,12,14,13,14,15,3,0,
orange_coast,UCB+UCD,2,IGETC,success,5,59,True,5,12,14,13,14,15,3,0,
