Community College,UCSD Articulated,UCSD Unarticulated,UCSB Articulated,UCSB Unarticulated,UCSC Articulated,UCSC Unarticulated,UCLA Articulated,UCLA Unarticulated,UCB Articulated,UCB Unarticulated,UCI Articulated,UCI Unarticulated,UCD Articulated,UCD Unarticulated,UCR Articulated,UCR Unarticulated,UCM Articulated,UCM Unarticulated
Merced_Community_College_District.csv,2.96,2.0,2.32,1.0,1.46,0.0,2.36,1.0,0.61,0.0,1.61,0.0,3.04,1.0,0.96,0.0,0.79,0.0
Marin_Community_College_District.csv,2.0,1.0,1.93,0.0,1.32,0.0,1.57,0.0,0.43,0.0,0.21,0.0,2.46,0.0,0.93,0.0,0.64,0.0
Siskiyou_Joint_Community_College_District.csv,3.43,3.0,3.96,2.0,2.11,1.0,2.18,1.0,0.43,0.0,3.0,3.0,4.07,2.0,1.11,0.0,0.79,0.0
Imperial_Community_College_District.csv,2.75,0.0,3.32,2.0,2.57,2.0,2.18,1.0,0.43,0.0,3.0,3.0,4.79,3.0,1.75,1.0,1.18,0.0
Kern_Community_College_District.csv,3.21,2.75,3.54,1.0,3.25,0.75,1.43,0.0,0.46,0.0,3.04,3.0,4.75,2.0,1.21,0.0,0.68,0.0
Lassen_Community_College_District.csv,4.75,4.75,5.0,5.0,2.75,2.75,5.0,5.0,2.0,2.0,3.0,3.0,6.0,6.0,2.0,2.0,3.0,3.0
Cabrillo_Community_College_District.csv,2.04,0.0,1.64,0.0,1.43,0.0,1.61,0.0,0.57,0.0,0.07,0.0,2.54,0.0,0.86,0.0,0.96,0.0
San_Mateo_County_Community_College_District.csv,3.21,0.0,2.29,0.0,1.43,0.0,1.54,0.0,0.43,0.0,0.18,0.0,3.25,0.0,0.93,0.0,0.75,0.0
West_Kern_Community_College_District.csv,3.96,3.75,3.89,0.0,2.75,2.75,2.57,2.0,0.57,0.0,3.0,3.0,4.75,4.0,1.54,1.0,1.57,1.0
Desert_Community_College_District.csv,2.79,2.0,2.43,0.0,1.46,0.0,2.18,1.0,0.43,0.0,3.0,3.0,3.68,2.0,1.75,0.0,0.79,0.0
San_Jose-Evergreen_Community_College_District.csv,3.0,1.0,2.61,0.0,1.32,0.0,2.18,0.0,0.43,0.0,0.21,0.0,3.61,1.0,0.75,0.0,0.64,0.0
Shasta-Tehama-Trinity_Joint_Community_College_District.csv,3.46,3.0,2.43,0.0,2.32,1.0,2.21,1.0,0.43,0.0,3.04,3.0,3.43,1.0,0.89,0.0,0.82,0.0
Palo_Verde_Community_College_District.csv,6.29,5.75,7.0,7.0,4.75,4.75,6.54,6.0,4.0,4.0,5.0,5.0,8.0,8.0,5.0,5.0,4.54,4.0
San_Luis_Obispo_County_Community_College_District.csv,1.0,0.0,2.32,1.0,1.32,0.0,1.43,1.0,0.43,0.0,3.0,3.0,1.54,0.0,0.96,0.0,0.64,0.0
San_Francisco_Community_College_District.csv,2.21,0.0,1.39,0.0,1.39,0.0,1.04,0.0,0.57,0.0,1.0,0.0,1.14,0.0,0.46,0.0,0.86,0.0
Santa_Clarita_Community_College_District.csv,2.0,0.0,1.79,0.0,1.79,0.0,1.54,0.0,0.43,0.0,3.0,3.0,3.61,2.0,0.79,0.0,0.86,0.0
Long_Beach_Community_College_District.csv,2.86,2.0,1.07,0.0,1.96,1.0,0.64,0.0,0.43,0.0,0.21,0.0,3.61,1.0,0.86,0.0,0.86,0.0
Santa_Barbara_Community_College_District.csv,1.75,0.0,1.46,0.0,1.36,0.0,1.39,0.0,0.43,0.0,0.14,0.0,3.11,1.0,1.04,0.0,0.96,0.0
Coast_Community_College_District.csv,2.71,0.0,1.11,0.0,1.21,0.0,1.0,0.0,0.57,0.0,2.0,0.0,5.43,0.0,0.32,0.0,0.68,0.0
Napa_Valley_Community_College_District.csv,3.18,2.75,3.5,1.0,2.29,1.75,2.18,1.0,0.43,0.0,3.0,3.0,4.29,3.0,1.54,1.0,0.96,0.0
Redwoods_Community_College_District.csv,3.18,2.75,3.96,3.0,2.75,2.75,2.18,1.0,0.43,0.0,3.0,3.0,4.96,4.0,1.75,1.0,1.43,1.0
Mendocino-Lake_Community_College_District.csv,2.75,1.75,4.0,2.0,2.79,2.75,2.21,1.0,0.43,0.0,3.04,3.0,5.0,3.0,1.29,0.0,1.0,0.0
Santa_Monica_Community_College_District.csv,1.64,0.0,2.43,0.0,1.25,0.0,2.0,0.0,0.5,0.0,1.61,0.0,3.64,2.0,0.96,0.0,0.75,0.0
San_Joaquin_Delta_Community_College_District.csv,3.57,3.0,2.32,0.0,2.0,0.0,1.57,0.0,0.57,0.0,3.0,3.0,4.57,3.0,1.04,0.0,0.68,0.0
Feather_River_Community_College_District.csv,4.75,4.75,5.04,4.0,2.79,2.75,5.04,5.0,1.79,1.0,3.04,3.0,6.04,6.0,2.0,2.0,2.79,2.0
Cerritos_Community_College_District.csv,2.11,0.0,2.0,1.0,1.46,0.0,1.0,0.0,0.57,0.0,0.21,0.0,2.07,0.0,0.96,0.0,0.93,0.0
Riverside_Community_College_District.csv,2.5,1.0,2.21,0.0,1.25,0.0,1.75,0.0,0.43,0.0,1.32,0.0,2.25,0.0,0.32,0.0,0.71,0.0
South_Orange_County_Community_College_District.csv,2.61,0.0,1.75,0.0,1.43,0.0,1.5,0.0,0.43,0.0,1.0,0.0,2.75,0.0,0.43,0.0,0.5,0.0
Mt._San_Antonio_Community_College_District.csv,1.86,0.0,1.29,0.0,1.86,0.0,0.71,0.0,0.43,0.0,3.0,3.0,3.75,2.0,0.32,0.0,0.93,0.0
Monterey_Peninsula_Community_College_District.csv,2.79,2.0,2.61,1.0,1.39,0.0,1.46,0.0,0.43,0.0,0.04,0.0,2.96,1.0,0.64,0.0,0.71,0.0
Glendale_Community_College_District.csv,2.79,1.0,2.11,0.0,2.11,1.0,1.39,0.0,0.43,0.0,0.21,0.0,2.86,0.0,0.79,0.0,0.79,0.0
Los_Angeles_Community_College_District.csv,2.36,0.0,2.07,0.0,1.32,0.0,1.54,0.0,0.43,0.0,1.0,0.0,2.43,0.0,0.89,0.0,0.64,0.0
San_Diego_Community_College_District.csv,1.54,0.0,2.29,0.0,2.36,1.0,1.39,0.0,0.43,0.0,0.21,0.0,3.79,2.0,0.96,0.0,1.18,0.0
Chaffey_Community_College_District.csv,3.21,2.75,2.54,0.0,2.75,2.75,1.32,0.0,0.46,0.0,0.29,0.0,3.79,2.0,1.43,1.0,0.71,0.0
Compton_Community_College_District.csv,1.93,0.0,2.32,1.0,2.36,2.0,1.57,1.0,0.57,0.0,0.75,0.0,4.36,4.0,2.0,2.0,1.57,1.0
Rio_Hondo_Community_College_District.csv,3.18,1.0,2.71,1.0,2.54,1.0,1.93,0.0,0.64,0.0,3.54,3.0,4.29,3.0,1.07,0.0,0.96,0.0
Peralta_Community_College_District.csv,3.79,1.0,2.39,0.0,1.64,0.0,2.18,1.0,0.43,0.0,3.0,3.0,2.86,1.0,1.54,0.0,0.96,0.0
Antelope_Valley_Community_College_District.csv,2.04,0.0,2.89,1.0,1.43,0.0,2.32,1.0,0.57,0.0,0.11,0.0,3.43,2.0,2.0,2.0,0.68,0.0
West_Valley-Mission_Community_College_District.csv,2.46,0.0,2.21,0.0,1.39,0.0,1.68,0.0,0.57,0.0,1.93,0.0,3.86,0.0,0.89,0.0,1.11,0.0
Victor_Valley_Community_College_District.csv,3.32,2.0,2.5,0.0,2.75,2.0,2.32,1.0,1.21,1.0,3.0,3.0,4.64,3.0,1.29,0.0,1.57,1.0
Pasadena_Area_Community_College_District.csv,1.96,0.0,1.86,0.0,1.57,0.0,1.68,0.0,0.54,0.0,0.14,0.0,2.86,1.0,0.75,0.0,1.11,0.0
MiraCosta_Community_College_District.csv,1.46,0.0,1.75,0.0,1.36,0.0,1.5,0.0,0.43,0.0,0.79,0.0,2.21,0.0,0.54,0.0,0.68,0.0
Contra_Costa_Community_College_District.csv,2.61,0.0,2.29,0.0,1.86,0.0,1.79,0.0,0.32,0.0,0.36,0.0,3.71,0.0,1.57,0.0,0.86,0.0
Allan_Hancock_Joint_Community_College_District.csv,2.0,1.0,1.54,0.0,1.32,0.0,1.43,1.0,0.43,0.0,3.0,3.0,4.32,3.0,0.96,0.0,0.64,0.0
Ventura_County_Community_College_District.csv,2.89,0.0,3.07,0.0,1.46,0.0,2.0,0.0,0.43,0.0,1.32,0.0,4.0,0.0,1.36,1.0,0.79,0.0
North_Orange_County_Community_College_District.csv,1.46,0.0,1.21,0.0,1.5,0.0,0.89,0.0,0.43,0.0,0.75,0.0,4.46,0.0,0.25,0.0,0.64,0.0
State_Center_Community_College_District.csv,1.86,0.0,1.18,0.0,1.18,0.0,1.46,0.0,0.46,0.0,0.07,0.0,3.89,0.0,0.57,0.0,0.5,0.0
Chabot-Las_Positas_Community_College_District.csv,1.57,0.0,2.29,0.0,1.32,0.0,1.71,0.0,0.43,0.0,0.75,0.0,4.64,0.0,1.11,0.0,0.64,0.0
Sonoma_County_Junior_College_District.csv,2.46,1.0,2.54,1.0,1.32,0.0,2.32,1.0,0.21,0.0,3.0,3.0,3.21,1.0,0.75,0.0,0.79,0.0
Citrus_Community_College_District.csv,3.43,3.0,2.86,1.0,2.29,1.0,1.54,0.0,0.43,0.0,3.0,3.0,3.86,2.0,1.36,0.0,1.43,1.0
Lake_Tahoe_Community_College_District.csv,2.79,1.0,3.96,3.0,2.21,2.0,3.07,1.0,0.57,0.0,0.21,0.0,5.75,5.0,1.21,0.0,0.79,0.0
Sierra_Joint_Community_College_District.csv,1.5,0.0,1.5,0.0,1.36,0.0,1.5,0.0,0.71,0.0,3.0,3.0,2.68,0.0,0.43,0.0,0.82,0.0
Southwestern_Community_College_District.csv,2.07,0.0,2.82,1.0,1.57,0.0,1.68,0.0,0.43,0.0,1.0,0.0,3.61,2.0,1.04,1.0,0.89,0.0
El_Camino_Community_College_District.csv,1.75,0.0,1.07,0.0,1.57,0.0,0.79,0.0,0.57,0.0,0.21,0.0,2.36,1.0,0.79,0.0,0.79,0.0
Yosemite_Community_College_District.csv,2.32,1.0,3.54,2.0,1.39,0.0,1.96,0.0,0.46,0.0,0.14,0.0,3.39,1.0,0.86,0.0,0.57,0.0
Sequoias_Community_College_District.csv,3.18,2.75,2.61,0.0,1.86,1.75,2.18,1.0,0.43,0.0,0.11,0.0,3.86,2.0,0.64,0.0,0.54,0.0
Butte-Glenn_Community_College_District.csv,3.57,3.0,2.68,0.0,1.96,1.0,2.32,1.0,0.57,0.0,3.0,3.0,3.71,2.0,0.96,0.0,0.79,0.0
San_Bernardino_Community_College_District.csv,2.79,2.0,2.71,0.0,1.5,0.0,2.11,0.0,0.57,0.0,1.0,0.0,3.04,0.0,1.29,0.0,0.79,0.0
Foothill-De_Anza_Community_College_District.csv,2.57,0.0,3.07,0.0,1.46,0.0,2.82,0.0,0.32,0.0,1.43,0.0,2.86,0.0,1.75,0.0,0.68,0.0
Copper_Mountain_Community_College_District.csv,2.79,2.0,2.07,0.0,2.11,1.0,2.18,1.0,0.43,0.0,0.21,0.0,3.07,1.0,0.75,0.0,0.64,0.0
Grossmont-Cuyamaca_Community_College_District.csv,1.89,0.0,1.96,0.0,1.21,0.0,2.18,0.0,0.43,0.0,1.0,0.0,2.96,1.0,0.64,0.0,0.54,0.0
Barstow_Community_College_District.csv,1.61,0.0,3.25,1.0,2.54,2.0,3.36,3.0,0.71,0.0,3.0,3.0,5.0,5.0,1.36,0.0,1.07,0.0
Los_Rios_Community_College_District.csv,1.61,0.0,1.93,0.0,1.32,0.0,1.64,0.0,0.43,0.0,0.21,0.0,2.29,0.0,0.75,0.0,0.64,0.0
Mt._San_Jacinto_Community_College_District.csv,1.68,0.0,1.79,0.0,1.32,0.0,1.43,0.0,0.43,0.0,0.11,0.0,2.32,0.0,1.04,0.0,0.64,0.0
Rancho_Santiago_Community_College_District.csv,2.96,0.75,1.82,0.0,1.86,0.75,0.82,0.0,0.57,0.0,0.25,0.0,4.11,3.0,0.61,0.0,0.93,0.0
Palomar_Community_College_District.csv,1.64,0.0,2.0,0.0,1.36,0.0,1.71,0.0,0.43,0.0,0.14,0.0,2.46,0.0,0.79,0.0,0.68,0.0
West_Hills_Community_College_District.csv,3.18,2.75,3.71,2.0,2.75,2.75,2.18,1.0,0.43,0.0,3.0,3.0,5.21,5.0,1.75,1.0,1.43,1.0
Ohlone_Community_College_District.csv,1.54,0.0,1.89,0.0,1.32,0.0,1.54,0.0,0.43,0.0,3.0,3.0,2.43,0.0,0.89,0.0,0.64,0.0
Gavilan_Community_College_District.csv,2.79,2.0,2.21,0.0,1.46,0.0,2.18,1.0,0.43,0.0,3.0,3.0,3.86,1.0,0.89,0.0,0.79,0.0
Hartnell_Community_College_District.csv,3.04,2.0,2.5,0.0,1.86,0.0,2.18,1.0,0.43,0.0,3.0,3.0,3.82,3.0,1.46,1.0,0.86,0.0
Solano_Community_College_District.csv,2.82,2.0,3.54,2.0,1.68,0.0,1.75,0.0,0.43,0.0,3.04,3.0,2.43,0.0,1.54,1.0,0.82,0.0
Yuba_Community_College_District.csv,3.25,2.0,2.39,0.0,1.82,0.0,1.54,0.0,0.43,0.0,3.0,3.0,3.5,1.0,0.93,0.0,1.14,0.0
AVERAGE,2.62,1.18,2.53,0.65,1.84,0.67,1.93,0.6,0.57,0.11,1.67,1.32,3.66,1.6,1.11,0.32,0.96,0.21
TRANSFERABLE AVERAGE,2.0,0.0,2.07,0.0,1.46,0.0,1.54,0.0,0.47,0.0,0.6,0.0,2.92,0.0,0.91,0.0,0.79,0.0
