Community College,UCSD Articulated,UCSD Unarticulated,UCSB Articulated,UCSB Unarticulated,UCSC Articulated,UCSC Unarticulated,UCLA Articulated,UCLA Unarticulated,UCB Articulated,UCB Unarticulated,UCI Articulated,UCI Unarticulated,UCD Articulated,UCD Unarticulated,UCR Articulated,UCR Unarticulated,UCM Articulated,UCM Unarticulated
Merced_Community_College_District.csv,0.71,2.0,0.43,1.0,0.98,0.0,0.71,1.0,0.71,0.0,1.71,0.0,1.05,1.0,0.52,0.0,0.88,0.0
Marin_Community_College_District.csv,1.43,0.94,0.5,0.09,0.88,0.05,0.54,0.04,0.36,0.08,0.25,0.93,1.12,0.09,0.25,0.08,0.5,0.05
Siskiyou_Joint_Community_College_District.csv,0.25,3.0,1.25,2.0,0.8,1.0,0.43,1.0,0.43,0.0,0.0,4.0,1.16,2.0,0.54,0.0,0.96,0.0
Imperial_Community_College_District.csv,2.04,0.0,0.43,2.0,0.45,1.82,0.32,1.0,0.32,0.0,0.0,3.52,1.34,2.79,0.45,0.98,1.12,0.16
Kern_Community_College_District.csv,0.25,3.0,1.88,0.82,1.7,0.0,0.5,0.0,0.43,0.0,0.0,3.18,2.07,1.82,1.07,0.0,1.5,0.0
Lassen_Community_College_District.csv,0.0,4.62,0.0,5.0,0.0,2.62,0.0,5.0,0.0,2.0,0.0,4.0,0.0,6.0,0.0,2.0,0.0,4.0
Cabrillo_Community_College_District.csv,1.3,0.0,0.7,0.01,0.88,0.0,0.57,0.0,0.32,0.01,0.25,0.36,1.32,0.0,0.27,0.01,0.54,0.01
San_Mateo_County_Community_College_District.csv,2.09,0.0,0.8,0.0,0.82,0.0,0.61,0.0,0.43,0.0,0.38,0.18,1.62,0.0,0.62,0.0,0.45,0.0
West_Kern_Community_College_District.csv,0.07,3.62,2.71,0.0,0.0,2.62,0.25,2.0,0.61,0.0,0.0,4.0,0.25,4.0,0.18,1.0,0.79,1.0
Desert_Community_College_District.csv,0.32,2.0,0.96,0.0,0.98,0.0,0.32,1.0,0.32,0.0,0.0,3.07,1.05,1.89,1.36,0.0,0.86,0.0
San_Jose-Evergreen_Community_College_District.csv,0.5,1.0,1.25,0.0,0.88,0.0,1.18,0.0,0.43,0.0,0.82,0.36,1.91,0.73,0.27,0.0,0.52,0.0
Shasta-Tehama-Trinity_Joint_Community_College_District.csv,0.25,2.62,0.96,0.0,0.36,1.62,0.43,1.0,0.43,0.0,0.0,4.0,1.71,1.0,0.36,0.0,0.79,0.0
Palo_Verde_Community_College_District.csv,1.0,5.62,0.0,7.0,0.0,4.62,0.0,7.0,0.0,4.0,0.0,6.0,0.0,8.0,0.0,5.0,0.0,6.0
San_Luis_Obispo_County_Community_College_District.csv,1.52,0.0,0.8,0.98,1.34,0.0,0.25,1.0,0.25,0.0,0.0,3.0,0.8,0.0,0.71,0.0,0.61,0.0
San_Francisco_Community_College_District.csv,1.5,0.02,0.79,0.02,0.98,0.02,0.5,0.02,0.14,0.02,2.0,1.0,0.88,0.0,0.36,0.0,1.32,0.02
Santa_Clarita_Community_College_District.csv,2.5,0.0,2.3,0.0,1.54,0.0,0.61,0.0,0.43,0.0,0.0,4.0,0.7,2.0,0.25,0.0,0.86,0.0
Long_Beach_Community_College_District.csv,0.32,2.0,0.7,0.0,0.54,1.0,0.23,0.0,0.14,0.0,0.09,1.0,1.52,1.0,0.09,0.0,0.34,0.0
Santa_Barbara_Community_College_District.csv,1.05,0.0,1.16,0.0,0.8,0.0,0.38,0.0,0.32,0.0,1.93,0.0,1.04,1.0,0.93,0.0,0.54,0.0
Coast_Community_College_District.csv,1.11,0.0,0.55,0.0,0.82,0.0,0.54,0.0,0.25,0.0,2.0,0.0,2.84,0.0,1.04,0.0,0.29,0.0
Napa_Valley_Community_College_District.csv,0.14,2.62,1.32,1.0,0.18,1.62,0.57,0.0,0.32,0.0,0.0,4.0,0.32,3.0,0.07,1.0,0.57,0.0
Redwoods_Community_College_District.csv,0.14,2.62,0.25,3.0,0.0,2.62,0.32,1.0,0.32,0.0,0.0,4.0,0.43,4.0,0.36,1.0,0.68,1.0
Mendocino-Lake_Community_College_District.csv,0.5,1.62,1.25,2.0,0.0,2.62,0.32,1.0,0.32,0.0,0.0,4.0,1.43,3.0,0.71,0.0,1.04,0.0
