Community College,UCSD Articulated,UCSD Unarticulated,UCSB Articulated,UCSB Unarticulated,UCSC Articulated,UCSC Unarticulated,UCLA Articulated,UCLA Unarticulated,UCB Articulated,UCB Unarticulated,UCI Articulated,UCI Unarticulated,UCD Articulated,UCD Unarticulated,UCR Articulated,UCR Unarticulated,UCM Articulated,UCM Unarticulated
Allan_Hancock_Joint_Community_College_District.csv,0.89,1.0,0.32,2.0,1.11,0.0,0.54,4.0,0.32,0.0,0.54,3.0,1.07,3.0,1.36,0.0,0.68,0.0
Antelope_Valley_Community_College_District.csv,3.93,0.0,0.79,1.0,1.5,0.0,1.54,2.0,0.68,0.0,2.39,0.0,2.46,0.0,0.0,2.0,0.79,0.0
Barstow_Community_College_District.csv,1.71,0.0,1.5,1.0,0.54,2.0,0.21,7.0,0.96,0.0,0.75,0.0,0.43,5.0,0.75,0.0,1.18,0.0
Butte-Glenn_Community_College_District.csv,0.32,3.0,2.07,0.0,0.86,1.0,0.79,4.0,0.68,0.0,0.0,4.0,1.93,2.0,0.86,0.0,0.79,0.0
Cabrillo_Community_College_District.csv,1.89,0.0,1.57,0.0,1.64,0.0,2.43,2.0,0.68,0.0,2.29,0.0,2.5,0.0,1.07,0.0,0.89,0.0
Cerritos_Community_College_District.csv,1.64,0.0,1.0,0.0,1.07,0.0,0.64,3.0,0.32,0.0,0.79,0.0,1.96,0.0,0.57,0.0,0.43,0.0
Chabot-Las_Positas_Community_College_District.csv,1.71,0.0,1.39,0.0,0.93,0.0,2.79,1.0,0.68,0.0,2.64,0.0,5.32,0.0,1.07,0.0,0.71,0.0
Chaffey_Community_College_District.csv,0.32,3.0,1.75,0.0,0.0,3.0,3.5,1.0,0.68,0.0,0.75,1.0,1.61,2.0,0.54,1.0,0.89,0.0
Citrus_Community_College_District.csv,0.32,3.0,1.36,1.0,0.89,1.0,2.64,1.0,0.68,0.0,0.0,4.0,2.21,2.0,1.07,0.0,1.21,0.0
Coast_Community_College_District.csv,1.18,0.0,1.18,0.0,1.07,0.0,3.04,1.0,0.32,0.0,4.0,0.0,5.68,0.0,0.64,0.0,0.43,0.0
Compton_Community_College_District.csv,1.79,0.0,0.57,1.0,0.11,2.0,0.43,4.0,0.32,0.0,1.46,0.0,0.43,4.0,0.0,2.0,0.68,0.0
Contra_Costa_Community_College_District.csv,2.29,0.0,1.75,0.0,1.5,0.0,3.18,1.0,0.68,0.0,2.04,0.0,4.89,0.0,1.5,0.0,1.21,0.0
Copper_Mountain_Community_College_District.csv,0.54,2.0,1.25,0.0,0.96,1.0,0.68,5.0,0.68,0.0,0.79,0.0,1.86,1.0,0.57,0.0,0.89,0.0
Desert_Community_College_District.csv,0.54,2.0,1.64,0.0,1.18,0.0,0.89,4.0,0.68,0.0,0.21,3.0,1.5,2.0,1.75,0.0,0.89,0.0
El_Camino_Community_College_District.csv,1.57,0.0,0.71,0.0,1.0,0.0,1.68,1.0,0.32,0.0,0.75,0.0,1.29,1.0,0.71,0.0,0.36,0.0
Feather_River_Community_College_District.csv,0.0,5.0,1.0,4.0,0.0,3.0,0.0,9.0,0.75,1.0,0.0,4.0,0.0,7.0,0.0,2.0,0.75,2.0
Foothill-De_Anza_Community_College_District.csv,1.93,0.0,3.18,0.0,1.14,0.0,3.21,1.0,0.71,0.0,4.0,0.0,3.21,0.0,2.04,0.0,1.07,0.0
Gavilan_Community_College_District.csv,0.68,2.0,1.79,0.0,2.07,0.0,1.64,3.0,0.68,0.0,0.75,3.0,3.93,1.0,1.21,0.0,0.89,0.0
Glendale_Community_College_District.csv,1.71,0.0,1.07,0.0,0.57,1.0,1.82,1.0,0.68,0.0,5.79,0.0,2.0,0.0,0.75,0.0,0.71,0.0
Grossmont-Cuyamaca_Community_College_District.csv,2.21,0.0,2.21,0.0,1.11,0.0,2.32,2.0,0.68,0.0,4.75,0.0,2.43,1.0,0.75,0.0,0.89,0.0
Hartnell_Community_College_District.csv,1.32,2.0,1.71,0.0,2.64,0.0,2.14,2.0,0.68,0.0,0.0,4.0,1.04,3.0,0.36,1.0,1.21,0.0
Imperial_Community_College_District.csv,2.57,0.0,1.21,2.0,0.36,2.0,1.04,4.0,0.68,0.0,0.36,3.0,1.68,3.0,0.75,1.0,1.43,0.0
Kern_Community_College_District.csv,0.32,3.0,2.21,1.0,0.96,1.0,3.39,2.0,0.68,0.0,0.75,3.0,4.29,2.0,1.21,0.0,0.89,0.0
Lake_Tahoe_Community_College_District.csv,1.21,1.0,0.46,3.0,0.32,2.0,0.93,5.0,0.93,0.0,2.5,1.0,0.21,5.0,1.61,0.0,1.14,0.0
Lassen_Community_College_District.csv,0.0,5.0,0.0,5.0,0.0,3.0,0.0,9.0,0.0,2.0,0.0,4.0,0.0,7.0,0.0,2.0,0.0,3.0
Long_Beach_Community_College_District.csv,0.54,2.0,1.29,0.0,0.75,1.0,1.5,2.0,0.32,0.0,2.96,0.0,1.82,1.0,0.43,0.0,0.54,0.0
Los_Angeles_Community_College_District.csv,0.86,0.0,1.32,0.0,0.86,0.0,1.75,1.0,0.68,0.0,1.21,0.0,3.93,0.0,0.75,0.0,0.79,0.0
Los_Rios_Community_College_District.csv,1.64,0.0,1.14,0.0,0.86,0.0,1.89,1.0,0.68,0.0,0.71,0.0,1.89,0.0,0.71,0.0,0.79,0.0
Marin_Community_College_District.csv,1.04,1.0,2.11,0.0,1.21,0.0,2.93,2.0,0.96,0.0,2.5,0.0,3.07,0.0,1.29,0.0,1.07,0.0
Mendocino-Lake_Community_College_District.csv,0.86,2.0,1.46,2.0,0.0,3.0,0.68,5.0,0.68,0.0,0.0,4.0,2.07,3.0,1.29,0.0,1.21,0.0
Merced_Community_College_District.csv,1.43,2.0,1.86,1.0,1.46,0.0,1.32,4.0,0.96,0.0,4.0,0.0,2.89,1.0,1.11,0.0,1.57,0.0
MiraCosta_Community_College_District.csv,1.64,0.0,2.71,0.0,1.29,0.0,3.46,1.0,0.68,0.0,3.89,0.0,2.5,0.0,0.89,0.0,0.89,0.0
Monterey_Peninsula_Community_College_District.csv,0.86,2.0,1.36,1.0,1.29,0.0,2.11,2.0,0.68,0.0,1.86,0.0,1.96,1.0,0.96,0.0,0.89,0.0
Mt._San_Antonio_Community_College_District.csv,2.32,0.0,4.11,0.0,1.11,1.0,3.0,2.0,1.21,0.0,0.96,3.0,3.32,2.0,1.75,0.0,1.5,0.0
Mt._San_Jacinto_Community_College_District.csv,1.54,0.0,1.07,0.0,0.75,0.0,1.82,1.0,0.86,0.0,0.86,0.0,1.82,0.0,0.75,0.0,0.43,0.0
Napa_Valley_Community_College_District.csv,0.32,3.0,1.82,1.0,0.36,2.0,2.39,2.0,0.68,0.0,0.0,4.0,1.04,3.0,0.36,1.0,1.04,0.0
North_Orange_County_Community_College_District.csv,1.75,0.0,1.14,0.0,2.29,0.0,2.82,1.0,0.43,0.0,4.14,0.0,5.5,0.0,1.39,0.0,0.46,0.0
Ohlone_Community_College_District.csv,1.64,0.0,1.0,0.0,0.86,0.0,1.75,1.0,0.68,0.0,0.75,3.0,1.93,0.0,0.75,0.0,0.79,0.0
Palo_Verde_Community_College_District.csv,1.0,6.0,0.0,7.0,0.0,5.0,0.0,11.0,0.0,4.0,0.0,6.0,0.0,9.0,0.0,5.0,0.0,5.0
Palomar_Community_College_District.csv,1.64,0.0,1.54,0.0,0.86,0.0,3.25,1.0,0.68,0.0,3.71,0.0,1.93,0.0,0.75,0.0,0.79,0.0
Pasadena_Area_Community_College_District.csv,2.04,0.0,2.64,0.0,2.82,0.0,4.36,1.0,2.18,0.0,8.68,0.0,3.04,0.0,1.54,0.0,0.89,0.0
Peralta_Community_College_District.csv,1.54,1.0,1.25,0.0,0.96,0.0,2.39,1.0,0.68,0.0,2.11,0.0,1.64,0.0,1.36,0.0,0.89,0.0
Rancho_Santiago_Community_College_District.csv,1.93,0.0,3.36,0.0,0.75,1.0,1.54,2.0,0.43,0.0,1.36,0.0,1.93,2.0,0.36,0.0,0.43,0.0
Redwoods_Community_College_District.csv,0.32,3.0,0.46,3.0,0.0,3.0,0.68,5.0,0.68,0.0,0.0,4.0,1.32,4.0,1.0,1.0,0.68,1.0
Rio_Hondo_Community_College_District.csv,2.29,1.0,1.43,1.0,1.29,1.0,3.14,2.0,1.5,0.0,2.0,0.0,1.46,3.0,0.71,0.0,2.04,0.0
Riverside_Community_College_District.csv,1.54,1.0,1.14,0.0,1.29,0.0,1.89,1.0,0.68,0.0,3.64,0.0,2.07,0.0,0.46,0.0,0.79,0.0
San_Bernardino_Community_College_District.csv,0.54,2.0,2.04,0.0,1.32,0.0,2.11,2.0,0.68,0.0,1.54,0.0,3.18,0.0,1.07,0.0,0.89,0.0
San_Diego_Community_College_District.csv,1.64,0.0,1.57,0.0,0.75,1.0,2.32,1.0,0.68,0.0,3.07,0.0,2.29,2.0,1.5,0.0,1.04,0.0
San_Francisco_Community_College_District.csv,1.79,0.0,1.68,0.0,0.96,0.0,1.89,2.0,0.75,0.0,4.11,0.0,2.43,0.0,1.36,0.0,0.86,0.0
San_Joaquin_Delta_Community_College_District.csv,0.32,3.0,2.46,0.0,1.64,0.0,2.14,2.0,0.68,0.0,0.0,4.0,1.79,2.0,1.36,0.0,1.21,0.0
San_Jose-Evergreen_Community_College_District.csv,1.89,1.0,3.0,0.0,1.64,0.0,4.18,1.0,0.89,0.0,3.93,0.0,3.86,1.0,1.5,0.0,1.43,0.0
San_Luis_Obispo_County_Community_College_District.csv,2.0,0.0,1.07,1.0,1.21,0.0,1.07,3.0,0.32,0.0,0.11,3.0,1.54,0.0,1.21,0.0,0.43,0.0
San_Mateo_County_Community_College_District.csv,3.07,0.0,1.32,0.0,1.39,0.0,2.75,1.0,0.68,0.0,1.32,0.0,2.68,0.0,0.96,0.0,0.79,0.0
