cc,ucs,uc_count,ge_pattern,status,total_terms,total_units,over_2_years,units_term_1,units_term_2,units_term_3,units_term_4,units_term_5,units_term_6,error
cosumnes_river,UCSD,1,IGETC,success,6,65,True,12,10,10,12,12,9,
cosumnes_river,UCLA,1,IGETC,success,5,58,True,12,10,12,12,12,0,
cosumnes_river,UCI,1,IGETC,success,5,52,True,10,12,12,12,6,0,
cosumnes_river,UCR,1,IGETC,success,5,52,True,10,12,12,12,6,0,
cosumnes_river,UCSB,1,IGETC,success,6,65,True,12,10,12,10,12,9,
cosumnes_river,UCD,1,IGETC,success,6,68,True,10,10,12,12,12,12,
cosumnes_river,UCB,1,IGETC,success,5,51,True,12,12,12,12,3,0,
cosumnes_river,UCSC,1,IGETC,success,6,63,True,10,10,10,12,12,9,
cosumnes_river,UCM,1,IGETC,success,6,66,True,12,10,10,10,12,12,
cosumnes_river,UCLA+UCSD,2,IGETC,success,5,58,True,12,10,12,12,12,0,
cosumnes_river,UCI+UCSD,2,IGETC,success,6,64,True,12,10,12,12,12,6,
cosumnes_river,UCR+UCSD,2,IGETC,success,6,64,True,12,10,12,12,12,6,
cosumnes_river,UCSB+UCSD,2,IGETC,success,6,67,True,12,10,12,12,12,9,
cosumnes_river,UCD+UCSD,2,IGETC,success,7,71,True,12,10,10,12,12,12,
cosumnes_river,UCB+UCSD,2,IGETC,success,6,68,True,12,10,10,12,12,12,
cosumnes_river,UCSC+UCSD,2,IGETC,success,6,65,True,12,10,10,12,12,9,
cosumnes_river,UCM+UCSD,2,IGETC,success,6,68,True,12,10,10,12,12,12,
cosumnes_river,UCI+UCLA,2,IGETC,success,5,58,True,12,10,12,12,12,0,
cosumnes_river,UCLA+UCR,2,IGETC,success,5,58,True,12,10,12,12,12,0,
cosumnes_river,UCLA+UCSB,2,IGETC,success,5,58,True,12,10,12,12,12,0,
cosumnes_river,UCD+UCLA,2,IGETC,success,6,64,True,12,10,12,12,12,6,
cosumnes_river,UCB+UCLA,2,IGETC,success,5,58,True,12,10,12,12,12,0,
cosumnes_river,UCLA+UCSC,2,IGETC,success,6,61,True,12,10,12,12,12,3,
cosumnes_river,UCLA+UCM,2,IGETC,success,5,58,True,12,10,12,12,12,0,
cosumnes_river,UCI+UCR,2,IGETC,success,5,52,True,10,12,12,12,6,0,
cosumnes_river,UCI+UCSB,2,IGETC,success,6,64,True,12,10,12,12,12,6,
cosumnes_river,UCD+UCI,2,IGETC,success,6,67,True,10,12,12,12,12,9,
cosumnes_river,UCB+UCI,2,IGETC,success,6,61,True,12,10,12,12,12,3,
cosumnes_river,UCI+UCSC,2,IGETC,success,6,61,True,10,12,12,12,12,3,
cosumnes_river,UCI+UCM,2,IGETC,success,6,64,True,12,10,12,12,12,6,
cosumnes_river,UCR+UCSB,2,IGETC,success,6,64,True,12,10,12,12,12,6,
cosumnes_river,UCD+UCR,2,IGETC,success,6,64,True,10,12,12,12,12,6,
cosumnes_river,UCB+UCR,2,IGETC,success,6,61,True,12,10,12,12,12,3,
cosumnes_river,UCR+UCSC,2,IGETC,success,6,61,True,10,12,12,12,12,3,
cosumnes_river,UCM+UCR,2,IGETC,success,6,64,True,12,10,12,12,12,6,
cosumnes_river,UCD+UCSB,2,IGETC,success,7,73,True,12,10,12,12,12,12,
cosumnes_river,UCB+UCSB,2,IGETC,success,6,68,True,12,10,12,10,12,12,
cosumnes_river,UCSB+UCSC,2,IGETC,success,6,68,True,12,10,12,10,12,12,
cosumnes_river,UCM+UCSB,2,IGETC,success,6,68,True,12,10,12,10,12,12,
cosumnes_river,UCB+UCD,2,IGETC,success,7,74,True,12,10,10,12,12,12,
cosumnes_river,UCD+UCSC,2,IGETC,success,6,68,True,10,10,12,12,12,12,
cosumnes_river,UCD+UCM,2,IGETC,success,7,74,True,12,10,10,12,12,12,
cosumnes_river,UCB+UCSC,2,IGETC,success,7,72,True,12,10,10,10,12,12,
cosumnes_river,UCB+UCM,2,IGETC,success,6,66,True,12,10,10,10,12,12,
cosumnes_river,UCM+UCSC,2,IGETC,success,7,72,True,12,10,10,10,12,12,
cosumnes_river,UCI+UCLA+UCSD,3,IGETC,success,5,58,True,12,10,12,12,12,0,
cosumnes_river,UCLA+UCR+UCSD,3,IGETC,success,5,58,True,12,10,12,12,12,0,
cosumnes_river,UCLA+UCSB+UCSD,3,IGETC,success,5,58,True,12,10,12,12,12,0,
cosumnes_river,UCD+UCLA+UCSD,3,IGETC,success,6,64,True,12,10,12,12,12,6,
cosumnes_river,UCB+UCLA+UCSD,3,IGETC,success,5,58,True,12,10,12,12,12,0,
cosumnes_river,UCLA+UCSC+UCSD,3,IGETC,success,6,61,True,12,10,12,12,12,3,
cosumnes_river,UCLA+UCM+UCSD,3,IGETC,success,5,58,True,12,10,12,12,12,0,
cosumnes_river,UCI+UCR+UCSD,3,IGETC,success,6,64,True,12,10,12,12,12,6,
cosumnes_river,UCI+UCSB+UCSD,3,IGETC,success,6,67,True,12,10,12,12,12,9,
cosumnes_river,UCD+UCI+UCSD,3,IGETC,success,6,70,True,12,10,12,12,12,12,
cosumnes_river,UCB+UCI+UCSD,3,IGETC,success,6,67,True,12,10,12,12,12,9,
cosumnes_river,UCI+UCSC+UCSD,3,IGETC,success,6,64,True,12,10,12,12,12,6,
cosumnes_river,UCI+UCM+UCSD,3,IGETC,success,6,67,True,12,10,12,12,12,9,
cosumnes_river,UCR+UCSB+UCSD,3,IGETC,success,6,67,True,12,10,12,12,12,9,
cosumnes_river,UCD+UCR+UCSD,3,IGETC,success,6,67,True,12,10,12,12,12,9,
cosumnes_river,UCB+UCR+UCSD,3,IGETC,success,6,67,True,12,10,12,12,12,9,
cosumnes_river,UCR+UCSC+UCSD,3,IGETC,success,6,64,True,12,10,12,12,12,6,
cosumnes_river,UCM+UCR+UCSD,3,IGETC,success,6,67,True,12,10,12,12,12,9,
cosumnes_river,UCD+UCSB+UCSD,3,IGETC,success,7,73,True,12,10,12,12,12,12,
cosumnes_river,UCB+UCSB+UCSD,3,IGETC,success,6,67,True,12,10,12,12,12,9,
cosumnes_river,UCSB+UCSC+UCSD,3,IGETC,success,6,67,True,12,10,12,12,12,9,
cosumnes_river,UCM+UCSB+UCSD,3,IGETC,success,6,67,True,12,10,12,12,12,9,
cosumnes_river,UCB+UCD+UCSD,3,IGETC,success,7,74,True,12,10,10,12,12,12,
cosumnes_river,UCD+UCSC+UCSD,3,IGETC,success,6,68,True,12,10,10,12,12,12,
cosumnes_river,UCD+UCM+UCSD,3,IGETC,success,7,74,True,12,10,10,12,12,12,
cosumnes_river,UCB+UCSC+UCSD,3,IGETC,success,6,68,True,12,10,10,12,12,12,
cosumnes_river,UCB+UCM+UCSD,3,IGETC,success,6,68,True,12,10,10,12,12,12,
cosumnes_river,UCM+UCSC+UCSD,3,IGETC,success,6,68,True,12,10,10,12,12,12,
cosumnes_river,UCI+UCLA+UCR,3,IGETC,success,5,58,True,12,10,12,12,12,0,
cosumnes_river,UCI+UCLA+UCSB,3,IGETC,success,5,58,True,12,10,12,12,12,0,
cosumnes_river,UCD+UCI+UCLA,3,IGETC,success,6,64,True,12,10,12,12,12,6,
cosumnes_river,UCB+UCI+UCLA,3,IGETC,success,5,58,True,12,10,12,12,12,0,
cosumnes_river,UCI+UCLA+UCSC,3,IGETC,success,6,61,True,12,10,12,12,12,3,
cosumnes_river,UCI+UCLA+UCM,3,IGETC,success,5,58,True,12,10,12,12,12,0,
cosumnes_river,UCLA+UCR+UCSB,3,IGETC,success,5,58,True,12,10,12,12,12,0,
cosumnes_river,UCD+UCLA+UCR,3,IGETC,success,6,64,True,12,10,12,12,12,6,
cosumnes_river,UCB+UCLA+UCR,3,IGETC,success,5,58,True,12,10,12,12,12,0,
cosumnes_river,UCLA+UCR+UCSC,3,IGETC,success,6,61,True,12,10,12,12,12,3,
cosumnes_river,UCLA+UCM+UCR,3,IGETC,success,5,58,True,12,10,12,12,12,0,
cosumnes_river,UCD+UCLA+UCSB,3,IGETC,success,6,64,True,12,10,12,12,12,6,
cosumnes_river,UCB+UCLA+UCSB,3,IGETC,success,5,58,True,12,10,12,12,12,0,
cosumnes_river,UCLA+UCSB+UCSC,3,IGETC,success,6,61,True,12,10,12,12,12,3,
cosumnes_river,UCLA+UCM+UCSB,3,IGETC,success,5,58,True,12,10,12,12,12,0,
cosumnes_river,UCB+UCD+UCLA,3,IGETC,success,6,64,True,12,10,12,12,12,6,
cosumnes_river,UCD+UCLA+UCSC,3,IGETC,success,6,64,True,12,10,12,12,12,6,
cosumnes_river,UCD+UCLA+UCM,3,IGETC,success,6,64,True,12,10,12,12,12,6,
cosumnes_river,UCB+UCLA+UCSC,3,IGETC,success,6,61,True,12,10,12,12,12,3,
cosumnes_river,UCB+UCLA+UCM,3,IGETC,success,5,58,True,12,10,12,12,12,0,
cosumnes_river,UCLA+UCM+UCSC,3,IGETC,success,6,61,True,12,10,12,12,12,3,
cosumnes_river,UCI+UCR+UCSB,3,IGETC,success,6,64,True,12,10,12,12,12,6,
cosumnes_river,UCD+UCI+UCR,3,IGETC,success,6,64,True,10,12,12,12,12,6,
cosumnes_river,UCB+UCI+UCR,3,IGETC,success,6,61,True,12,10,12,12,12,3,
cosumnes_river,UCI+UCR+UCSC,3,IGETC,success,6,61,True,10,12,12,12,12,3,
cosumnes_river,UCI+UCM+UCR,3,IGETC,success,6,64,True,12,10,12,12,12,6,
cosumnes_river,UCD+UCI+UCSB,3,IGETC,success,7,73,True,12,10,12,12,12,12,
cosumnes_river,UCB+UCI+UCSB,3,IGETC,success,6,67,True,12,10,12,12,12,9,
cosumnes_river,UCI+UCSB+UCSC,3,IGETC,success,6,67,True,12,10,12,12,12,9,
cosumnes_river,UCI+UCM+UCSB,3,IGETC,success,6,67,True,12,10,12,12,12,9,
cosumnes_river,UCB+UCD+UCI,3,IGETC,success,7,73,True,12,10,12,12,12,12,
cosumnes_river,UCD+UCI+UCSC,3,IGETC,success,6,67,True,10,12,12,12,12,9,
cosumnes_river,UCD+UCI+UCM,3,IGETC,success,7,73,True,12,10,12,12,12,12,
cosumnes_river,UCB+UCI+UCSC,3,IGETC,success,6,70,True,12,10,12,12,12,12,
cosumnes_river,UCB+UCI+UCM,3,IGETC,success,6,64,True,12,10,12,12,12,6,
cosumnes_river,UCI+UCM+UCSC,3,IGETC,success,6,70,True,12,10,12,12,12,12,
cosumnes_river,UCD+UCR+UCSB,3,IGETC,success,6,70,True,12,10,12,12,12,12,
cosumnes_river,UCB+UCR+UCSB,3,IGETC,success,6,67,True,12,10,12,12,12,9,
cosumnes_river,UCR+UCSB+UCSC,3,IGETC,success,6,67,True,12,10,12,12,12,9,
cosumnes_river,UCM+UCR+UCSB,3,IGETC,success,6,67,True,12,10,12,12,12,9,
cosumnes_river,UCB+UCD+UCR,3,IGETC,success,6,70,True,12,10,12,12,12,12,
cosumnes_river,UCD+UCR+UCSC,3,IGETC,success,6,64,True,10,12,12,12,12,6,
cosumnes_river,UCD+UCM+UCR,3,IGETC,success,6,70,True,12,10,12,12,12,12,
cosumnes_river,UCB+UCR+UCSC,3,IGETC,success,6,70,True,12,10,12,12,12,12,
cosumnes_river,UCB+UCM+UCR,3,IGETC,success,6,64,True,12,10,12,12,12,6,
cosumnes_river,UCM+UCR+UCSC,3,IGETC,success,6,70,True,12,10,12,12,12,12,
cosumnes_river,UCB+UCD+UCSB,3,IGETC,success,7,73,True,12,10,12,12,12,12,
cosumnes_river,UCD+UCSB+UCSC,3,IGETC,success,7,73,True,12,10,12,12,12,12,
cosumnes_river,UCD+UCM+UCSB,3,IGETC,success,7,73,True,12,10,12,12,12,12,
cosumnes_river,UCB+UCSB+UCSC,3,IGETC,success,7,71,True,12,10,12,10,12,12,
cosumnes_river,UCB+UCM+UCSB,3,IGETC,success,6,68,True,12,10,12,10,12,12,
cosumnes_river,UCM+UCSB+UCSC,3,IGETC,success,7,71,True,12,10,12,10,12,12,
cosumnes_river,UCB+UCD+UCSC,3,IGETC,success,7,74,True,12,10,10,12,12,12,
