cc,ucs,uc_count,ge_pattern,status,total_terms,total_units,over_2_years,units_term_1,units_term_2,units_term_3,units_term_4,units_term_5,units_term_6,error
de_anza,UCSD,1,IGETC,success,7,78.5,True,10.5,12,10.5,10.5,11,12,
de_anza,UCLA,1,IGETC,success,6,58.5,True,10.5,12,12,12,9,3,
de_anza,UCI,1,IGETC,success,5,51,True,12,12,12,12,3,0,
de_anza,UCR,1,IGETC,success,5,51,True,12,12,12,12,3,0,
de_anza,UCSB,1,IGETC,success,5,55.5,True,10.5,12,12,12,9,0,
de_anza,UCD,1,IGETC,success,7,69,True,12,12,12,11,11,8,
de_anza,UCB,1,IGETC,success,6,54,True,12,12,12,12,3,3,
de_anza,UCSC,1,IGETC,success,7,78.0,True,12,10.5,10.5,11,11,11,
de_anza,UCM,1,IGETC,success,6,66.0,True,10.5,10.5,12,12,12,9,
de_anza,UCLA+UCSD,2,IGETC,success,7,69.0,True,10.5,12,10.5,12,12,9,
de_anza,UCI+UCSD,2,IGETC,success,8,87.5,True,12,12,12,10.5,11,10.5,
de_anza,UCR+UCSD,2,IGETC,success,7,77.0,True,12,12,10.5,10.5,11,12,
de_anza,UCSB+UCSD,2,IGETC,success,7,78.0,True,10.5,12,10.5,12,12,12,
de_anza,UCD+UCSD,2,IGETC,success,7,65,True,12,12,12,12,11,3,
de_anza,UCB+UCSD,2,IGETC,success,7,76.5,True,10.5,12,10.5,10.5,12,12,
de_anza,UCSC+UCSD,2,IGETC,success,8,78.5,True,12,10.5,12,10.5,10.5,11,
de_anza,UCM+UCSD,2,IGETC,success,7,76.5,True,10.5,12,10.5,10.5,12,12,
de_anza,UCI+UCLA,2,IGETC,success,6,67.5,True,12,12,12,10.5,12,9,
de_anza,UCLA+UCR,2,IGETC,success,6,60,True,12,12,12,12,9,3,
de_anza,UCLA+UCSB,2,IGETC,success,7,61.5,True,10.5,12,12,12,9,3,
de_anza,UCD+UCLA,2,IGETC,success,7,63,True,12,12,12,12,9,3,
de_anza,UCB+UCLA,2,IGETC,success,6,58.5,True,10.5,12,12,12,9,3,
