cc,ucs,uc_count,ge_pattern,status,total_terms,total_units,over_2_years,units_term_1,units_term_2,units_term_3,units_term_4,units_term_5,units_term_6,error
palomar,UCSD,1,IGETC,success,6,61,True,10,12,12,12,12,3,
palomar,UCLA,1,IGETC,success,6,62,True,10,10,12,12,12,6,
palomar,UCI,1,IGETC,success,5,58,True,12,10,12,12,12,0,
palomar,UCR,1,IGETC,success,4,45,False,12,12,12,9,0,0,
palomar,UCSB,1,IGETC,success,6,68,True,12,12,10,10,12,12,
palomar,UCD,1,IGETC,success,5,51,True,12,12,12,12,3,0,
palomar,UCB,1,IGETC,success,5,52,True,12,10,12,12,6,0,
palomar,UCSC,1,IGETC,success,6,59,True,10,12,10,12,12,3,
palomar,UCM,1,IGETC,success,6,62,True,10,10,12,12,12,6,
palomar,UCLA+UCSD,2,IGETC,success,6,67,True,10,12,12,12,12,9,
palomar,UCI+UCSD,2,IGETC,success,5,58,True,12,10,12,12,12,0,
palomar,UCR+UCSD,2,IGETC,success,5,54,True,12,12,12,12,6,0,
palomar,UCSB+UCSD,2,IGETC,success,6,66,True,12,12,12,12,12,6,
palomar,UCD+UCSD,2,IGETC,success,5,54,True,12,12,12,12,6,0,
palomar,UCB+UCSD,2,IGETC,success,5,55,True,12,10,12,12,9,0,
palomar,UCSC+UCSD,2,IGETC,success,6,61,True,10,12,12,12,12,3,
palomar,UCM+UCSD,2,IGETC,success,6,64,True,10,12,12,12,12,6,
palomar,UCI+UCLA,2,IGETC,success,5,58,True,12,10,12,12,12,0,
palomar,UCLA+UCR,2,IGETC,success,5,54,True,12,12,12,12,6,0,
palomar,UCLA+UCSB,2,IGETC,success,6,67,True,12,12,12,10,12,9,
palomar,UCD+UCLA,2,IGETC,success,5,57,True,12,12,12,12,9,0,
palomar,UCB+UCLA,2,IGETC,success,5,53,True,12,10,10,12,9,0,
palomar,UCLA+UCSC,2,IGETC,success,7,71,True,10,12,12,10,12,12,
palomar,UCLA+UCM,2,IGETC,success,6,65,True,10,10,12,12,12,9,
palomar,UCI+UCR,2,IGETC,success,5,51,True,12,12,12,12,3,0,
palomar,UCI+UCSB,2,IGETC,success,5,60,True,12,12,12,12,12,0,
palomar,UCD+UCI,2,IGETC,success,5,51,True,12,12,12,12,3,0,
palomar,UCB+UCI,2,IGETC,success,6,64,True,12,10,12,12,12,6,
palomar,UCI+UCSC,2,IGETC,success,6,61,True,12,10,12,12,12,3,
palomar,UCI+UCM,2,IGETC,success,5,55,True,12,10,12,12,9,0,
palomar,UCR+UCSB,2,IGETC,success,5,58,True,12,12,10,12,12,0,
palomar,UCD+UCR,2,IGETC,success,5,51,True,12,12,12,12,3,0,
palomar,UCB+UCR,2,IGETC,success,5,57,True,12,12,12,12,9,0,
palomar,UCR+UCSC,2,IGETC,success,4,48,False,12,12,12,12,0,0,
palomar,UCM+UCR,2,IGETC,success,5,54,True,12,12,12,12,6,0,
palomar,UCD+UCSB,2,IGETC,success,6,70,True,12,12,12,10,12,12,
palomar,UCB+UCSB,2,IGETC,success,5,58,True,12,10,12,12,12,0,
palomar,UCSB+UCSC,2,IGETC,success,7,71,True,12,12,10,10,12,12,
palomar,UCM+UCSB,2,IGETC,success,6,67,True,12,12,12,10,12,9,
palomar,UCB+UCD,2,IGETC,success,4,48,False,12,12,12,12,0,0,
palomar,UCD+UCSC,2,IGETC,success,5,51,True,12,12,12,12,3,0,
palomar,UCD+UCM,2,IGETC,success,5,57,True,12,12,12,12,9,0,
palomar,UCB+UCSC,2,IGETC,success,6,68,True,12,10,12,10,12,12,
palomar,UCB+UCM,2,IGETC,success,6,62,True,12,10,12,10,12,6,
palomar,UCM+UCSC,2,IGETC,success,6,68,True,10,12,12,10,12,12,
palomar,UCI+UCLA+UCSD,3,IGETC,success,6,61,True,12,10,12,12,12,3,
palomar,UCLA+UCR+UCSD,3,IGETC,success,6,66,True,12,12,12,12,12,6,
palomar,UCLA+UCSB+UCSD,3,IGETC,success,6,66,True,12,12,12,12,12,6,
palomar,UCD+UCLA+UCSD,3,IGETC,success,6,69,True,12,12,12,12,12,9,
palomar,UCB+UCLA+UCSD,3,IGETC,success,5,58,True,12,10,12,12,12,0,
palomar,UCLA+UCSC+UCSD,3,IGETC,success,6,67,True,10,12,12,12,12,9,
palomar,UCLA+UCM+UCSD,3,IGETC,success,6,67,True,10,12,12,12,12,9,
palomar,UCI+UCR+UCSD,3,IGETC,success,5,51,True,12,12,12,12,3,0,
palomar,UCI+UCSB+UCSD,3,IGETC,success,5,60,True,12,12,12,12,12,0,
palomar,UCD+UCI+UCSD,3,IGETC,success,5,51,True,12,12,12,12,3,0,
palomar,UCB+UCI+UCSD,3,IGETC,success,5,58,True,12,10,12,12,12,0,
palomar,UCI+UCSC+UCSD,3,IGETC,success,6,61,True,12,10,12,12,12,3,
palomar,UCI+UCM+UCSD,3,IGETC,success,5,58,True,12,10,12,12,12,0,
palomar,UCR+UCSB+UCSD,3,IGETC,success,5,57,True,12,12,12,12,9,0,
palomar,UCD+UCR+UCSD,3,IGETC,success,5,54,True,12,12,12,12,6,0,
palomar,UCB+UCR+UCSD,3,IGETC,success,4,48,False,12,12,12,12,0,0,
palomar,UCR+UCSC+UCSD,3,IGETC,success,5,54,True,12,12,12,12,6,0,
palomar,UCM+UCR+UCSD,3,IGETC,success,5,57,True,12,12,12,12,9,0,
palomar,UCD+UCSB+UCSD,3,IGETC,success,6,69,True,12,12,12,12,12,9,
palomar,UCB+UCSB+UCSD,3,IGETC,success,5,57,True,12,12,12,12,9,0,
palomar,UCSB+UCSC+UCSD,3,IGETC,success,6,66,True,12,12,12,12,12,6,
palomar,UCM+UCSB+UCSD,3,IGETC,success,6,66,True,12,12,12,12,12,6,
palomar,UCB+UCD+UCSD,3,IGETC,success,4,48,False,12,12,12,12,0,0,
palomar,UCD+UCSC+UCSD,3,IGETC,success,5,54,True,12,12,12,12,6,0,
palomar,UCD+UCM+UCSD,3,IGETC,success,5,57,True,12,12,12,12,9,0,
palomar,UCB+UCSC+UCSD,3,IGETC,success,5,58,True,12,10,12,12,12,0,
palomar,UCB+UCM+UCSD,3,IGETC,success,5,55,True,12,10,12,12,9,0,
palomar,UCM+UCSC+UCSD,3,IGETC,success,6,64,True,10,12,12,12,12,6,
palomar,UCI+UCLA+UCR,3,IGETC,success,4,48,False,12,12,12,12,0,0,
palomar,UCI+UCLA+UCSB,3,IGETC,success,5,60,True,12,12,12,12,12,0,
palomar,UCD+UCI+UCLA,3,IGETC,success,5,51,True,12,12,12,12,3,0,
palomar,UCB+UCI+UCLA,3,IGETC,success,5,58,True,12,10,12,12,12,0,
palomar,UCI+UCLA+UCSC,3,IGETC,success,6,64,True,12,10,12,12,12,6,
palomar,UCI+UCLA+UCM,3,IGETC,success,5,58,True,12,10,12,12,12,0,
palomar,UCLA+UCR+UCSB,3,IGETC,success,5,57,True,12,12,12,12,9,0,
palomar,UCD+UCLA+UCR,3,IGETC,success,5,57,True,12,12,12,12,9,0,
palomar,UCB+UCLA+UCR,3,IGETC,success,4,45,False,12,12,12,9,0,0,
palomar,UCLA+UCR+UCSC,3,IGETC,success,5,57,True,12,12,12,12,9,0,
palomar,UCLA+UCM+UCR,3,IGETC,success,5,54,True,12,12,12,12,6,0,
palomar,UCD+UCLA+UCSB,3,IGETC,success,6,70,True,12,12,12,10,12,12,
palomar,UCB+UCLA+UCSB,3,IGETC,success,5,58,True,12,10,12,12,12,0,
palomar,UCLA+UCSB+UCSC,3,IGETC,success,6,70,True,12,12,12,10,12,12,
palomar,UCLA+UCM+UCSB,3,IGETC,success,6,67,True,12,12,12,10,12,9,
palomar,UCB+UCD+UCLA,3,IGETC,success,4,48,False,12,12,12,12,0,0,
palomar,UCD+UCLA+UCSC,3,IGETC,success,5,57,True,12,12,12,12,9,0,
palomar,UCD+UCLA+UCM,3,IGETC,success,5,57,True,12,12,12,12,9,0,
palomar,UCB+UCLA+UCSC,3,IGETC,success,6,62,True,12,10,10,12,12,6,
palomar,UCB+UCLA+UCM,3,IGETC,success,5,56,True,12,10,10,12,12,0,
palomar,UCLA+UCM+UCSC,3,IGETC,success,7,71,True,10,12,12,10,12,12,
palomar,UCI+UCR+UCSB,3,IGETC,success,5,51,True,12,12,12,12,3,0,
palomar,UCD+UCI+UCR,3,IGETC,success,5,51,True,12,12,12,12,3,0,
palomar,UCB+UCI+UCR,3,IGETC,success,5,60,True,12,12,12,12,12,0,
palomar,UCI+UCR+UCSC,3,IGETC,success,5,51,True,12,12,12,12,3,0,
palomar,UCI+UCM+UCR,3,IGETC,success,4,48,False,12,12,12,12,0,0,
palomar,UCD+UCI+UCSB,3,IGETC,success,6,63,True,12,12,12,12,12,3,
palomar,UCB+UCI+UCSB,3,IGETC,success,5,60,True,12,12,12,12,12,0,
palomar,UCI+UCSB+UCSC,3,IGETC,success,6,63,True,12,12,12,12,12,3,
palomar,UCI+UCM+UCSB,3,IGETC,success,5,60,True,12,12,12,12,12,0,
palomar,UCB+UCD+UCI,3,IGETC,success,5,51,True,12,12,12,12,3,0,
palomar,UCD+UCI+UCSC,3,IGETC,success,5,51,True,12,12,12,12,3,0,
palomar,UCD+UCI+UCM,3,IGETC,success,5,51,True,12,12,12,12,3,0,
palomar,UCB+UCI+UCSC,3,IGETC,success,6,70,True,12,10,12,12,12,12,
palomar,UCB+UCI+UCM,3,IGETC,success,6,64,True,12,10,12,12,12,6,
palomar,UCI+UCM+UCSC,3,IGETC,success,6,61,True,12,10,12,12,12,3,
palomar,UCD+UCR+UCSB,3,IGETC,success,5,57,True,12,12,12,12,9,0,
palomar,UCB+UCR+UCSB,3,IGETC,success,4,48,False,12,12,12,12,0,0,
palomar,UCR+UCSB+UCSC,3,IGETC,success,5,58,True,12,12,10,12,12,0,
palomar,UCM+UCR+UCSB,3,IGETC,success,5,57,True,12,12,12,12,9,0,
palomar,UCB+UCD+UCR,3,IGETC,success,5,60,True,12,12,12,12,12,0,
palomar,UCD+UCR+UCSC,3,IGETC,success,5,51,True,12,12,12,12,3,0,
palomar,UCD+UCM+UCR,3,IGETC,success,5,57,True,12,12,12,12,9,0,
palomar,UCB+UCR+UCSC,3,IGETC,success,5,57,True,12,12,12,12,9,0,
palomar,UCB+UCM+UCR,3,IGETC,success,5,57,True,12,12,12,12,9,0,
palomar,UCM+UCR+UCSC,3,IGETC,success,5,57,True,12,12,12,12,9,0,
palomar,UCB+UCD+UCSB,3,IGETC,success,6,61,True,12,10,12,12,12,3,
palomar,UCD+UCSB+UCSC,3,IGETC,success,6,70,True,12,12,12,10,12,12,
palomar,UCD+UCM+UCSB,3,IGETC,success,6,70,True,12,12,12,10,12,12,
palomar,UCB+UCSB+UCSC,3,IGETC,success,6,61,True,12,10,12,12,12,3,
palomar,UCB+UCM+UCSB,3,IGETC,success,5,58,True,12,10,12,12,12,0,
palomar,UCM+UCSB+UCSC,3,IGETC,success,6,70,True,12,12,12,10,12,12,
palomar,UCB+UCD+UCSC,3,IGETC,success,4,48,False,12,12,12,12,0,0,
palomar,UCB+UCD+UCM,3,IGETC,success,4,48,False,12,12,12,12,0,0,
palomar,UCD+UCM+UCSC,3,IGETC,success,5,57,True,12,12,12,12,9,0,
palomar,UCB+UCM+UCSC,3,IGETC,success,6,68,True,12,10,12,10,12,12,
palomar,UCI+UCLA+UCR+UCSD,4,IGETC,success,5,60,True,12,12,12,12,12,0,
palomar,UCI+UCLA+UCSB+UCSD,4,IGETC,success,5,60,True,12,12,12,12,12,0,
palomar,UCD+UCI+UCLA+UCSD,4,IGETC,success,6,63,True,12,12,12,12,12,3,
palomar,UCB+UCI+UCLA+UCSD,4,IGETC,success,6,61,True,12,10,12,12,12,3,
palomar,UCI+UCLA+UCSC+UCSD,4,IGETC,success,6,64,True,12,10,12,12,12,6,
palomar,UCI+UCLA+UCM+UCSD,4,IGETC,success,6,61,True,12,10,12,12,12,3,
palomar,UCLA+UCR+UCSB+UCSD,4,IGETC,success,6,66,True,12,12,12,12,12,6,
palomar,UCD+UCLA+UCR+UCSD,4,IGETC,success,6,69,True,12,12,12,12,12,9,
palomar,UCB+UCLA+UCR+UCSD,4,IGETC,success,5,57,True,12,12,12,12,9,0,
palomar,UCLA+UCR+UCSC+UCSD,4,IGETC,success,6,66,True,12,12,12,12,12,6,
palomar,UCLA+UCM+UCR+UCSD,4,IGETC,success,6,66,True,12,12,12,12,12,6,
palomar,UCD+UCLA+UCSB+UCSD,4,IGETC,success,6,69,True,12,12,12,12,12,9,
palomar,UCB+UCLA+UCSB+UCSD,4,IGETC,success,5,57,True,12,12,12,12,9,0,
palomar,UCLA+UCSB+UCSC+UCSD,4,IGETC,success,6,66,True,12,12,12,12,12,6,
palomar,UCLA+UCM+UCSB+UCSD,4,IGETC,success,6,66,True,12,12,12,12,12,6,
palomar,UCB+UCD+UCLA+UCSD,4,IGETC,success,5,60,True,12,12,12,12,12,0,
palomar,UCD+UCLA+UCSC+UCSD,4,IGETC,success,6,66,True,12,12,12,12,12,6,
palomar,UCD+UCLA+UCM+UCSD,4,IGETC,success,6,69,True,12,12,12,12,12,9,
palomar,UCB+UCLA+UCSC+UCSD,4,IGETC,success,6,61,True,12,10,12,12,12,3,
palomar,UCB+UCLA+UCM+UCSD,4,IGETC,success,5,58,True,12,10,12,12,12,0,
palomar,UCLA+UCM+UCSC+UCSD,4,IGETC,success,6,67,True,10,12,12,12,12,9,
palomar,UCI+UCR+UCSB+UCSD,4,IGETC,success,5,51,True,12,12,12,12,3,0,
palomar,UCD+UCI+UCR+UCSD,4,IGETC,success,5,51,True,12,12,12,12,3,0,
palomar,UCB+UCI+UCR+UCSD,4,IGETC,success,5,51,True,12,12,12,12,3,0,
palomar,UCI+UCR+UCSC+UCSD,4,IGETC,success,5,51,True,12,12,12,12,3,0,
palomar,UCI+UCM+UCR+UCSD,4,IGETC,success,5,51,True,12,12,12,12,3,0,
palomar,UCD+UCI+UCSB+UCSD,4,IGETC,success,6,63,True,12,12,12,12,12,3,
palomar,UCB+UCI+UCSB+UCSD,4,IGETC,success,5,60,True,12,12,12,12,12,0,
palomar,UCI+UCSB+UCSC+UCSD,4,IGETC,success,6,63,True,12,12,12,12,12,3,
palomar,UCI+UCM+UCSB+UCSD,4,IGETC,success,5,60,True,12,12,12,12,12,0,
palomar,UCB+UCD+UCI+UCSD,4,IGETC,success,5,51,True,12,12,12,12,3,0,
palomar,UCD+UCI+UCSC+UCSD,4,IGETC,success,5,51,True,12,12,12,12,3,0,
palomar,UCD+UCI+UCM+UCSD,4,IGETC,success,5,51,True,12,12,12,12,3,0,
palomar,UCB+UCI+UCSC+UCSD,4,IGETC,success,6,61,True,12,10,12,12,12,3,
palomar,UCB+UCI+UCM+UCSD,4,IGETC,success,5,58,True,12,10,12,12,12,0,
palomar,UCI+UCM+UCSC+UCSD,4,IGETC,success,6,61,True,12,10,12,12,12,3,
palomar,UCD+UCR+UCSB+UCSD,4,IGETC,success,5,57,True,12,12,12,12,9,0,
palomar,UCB+UCR+UCSB+UCSD,4,IGETC,success,4,48,False,12,12,12,12,0,0,
palomar,UCR+UCSB+UCSC+UCSD,4,IGETC,success,5,57,True,12,12,12,12,9,0,
palomar,UCM+UCR+UCSB+UCSD,4,IGETC,success,5,57,True,12,12,12,12,9,0,
palomar,UCB+UCD+UCR+UCSD,4,IGETC,success,4,48,False,12,12,12,12,0,0,
palomar,UCD+UCR+UCSC+UCSD,4,IGETC,success,5,54,True,12,12,12,12,6,0,
palomar,UCD+UCM+UCR+UCSD,4,IGETC,success,5,57,True,12,12,12,12,9,0,
palomar,UCB+UCR+UCSC+UCSD,4,IGETC,success,4,48,False,12,12,12,12,0,0,
palomar,UCB+UCM+UCR+UCSD,4,IGETC,success,4,48,False,12,12,12,12,0,0,
palomar,UCM+UCR+UCSC+UCSD,4,IGETC,success,5,57,True,12,12,12,12,9,0,
palomar,UCB+UCD+UCSB+UCSD,4,IGETC,success,5,60,True,12,12,12,12,12,0,
palomar,UCD+UCSB+UCSC+UCSD,4,IGETC,success,6,66,True,12,12,12,12,12,6,
palomar,UCD+UCM+UCSB+UCSD,4,IGETC,success,6,69,True,12,12,12,12,12,9,
palomar,UCB+UCSB+UCSC+UCSD,4,IGETC,success,5,60,True,12,12,12,12,12,0,
palomar,UCB+UCM+UCSB+UCSD,4,IGETC,success,5,57,True,12,12,12,12,9,0,
palomar,UCM+UCSB+UCSC+UCSD,4,IGETC,success,6,66,True,12,12,12,12,12,6,
palomar,UCB+UCD+UCSC+UCSD,4,IGETC,success,4,48,False,12,12,12,12,0,0,
palomar,UCB+UCD+UCM+UCSD,4,IGETC,success,4,48,False,12,12,12,12,0,0,
palomar,UCD+UCM+UCSC+UCSD,4,IGETC,success,5,57,True,12,12,12,12,9,0,
palomar,UCB+UCM+UCSC+UCSD,4,IGETC,success,5,58,True,12,10,12,12,12,0,
palomar,UCI+UCLA+UCR+UCSB,4,IGETC,success,5,51,True,12,12,12,12,3,0,
palomar,UCD+UCI+UCLA+UCR,4,IGETC,success,5,51,True,12,12,12,12,3,0,
palomar,UCB+UCI+UCLA+UCR,4,IGETC,success,4,48,False,12,12,12,12,0,0,
palomar,UCI+UCLA+UCR+UCSC,4,IGETC,success,5,51,True,12,12,12,12,3,0,
