cc,ucs,uc_count,ge_pattern,status,total_terms,total_units,over_2_years,units_term_1,units_term_2,units_term_3,units_term_4,units_term_5,units_term_6,error
folsom_lake,UCSD,1,IGETC,success,4,55,False,13,15,15,12,0,0,
folsom_lake,UCLA,1,IGETC,success,4,54,False,15,15,15,9,0,0,
folsom_lake,UCI,1,IGETC,success,4,51,False,15,15,15,6,0,0,
folsom_lake,UCR,1,IGETC,success,4,48,False,15,15,15,3,0,0,
folsom_lake,UCSB,1,IGETC,success,4,51,False,15,15,15,6,0,0,
folsom_lake,UCD,1,IGETC,success,4,57,False,15,15,15,12,0,0,
folsom_lake,UCB,1,IGETC,success,4,51,False,15,15,15,6,0,0,
folsom_lake,UCSC,1,IGETC,success,4,49,False,13,15,15,6,0,0,
folsom_lake,UCM,1,IGETC,success,4,51,False,15,15,15,6,0,0,
folsom_lake,UCLA+UCSD,2,IGETC,success,4,57,False,15,15,15,12,0,0,
folsom_lake,UCI+UCSD,2,IGETC,success,4,60,False,15,15,15,15,0,0,
folsom_lake,UCR+UCSD,2,IGETC,success,4,60,False,15,15,15,15,0,0,
folsom_lake,UCSB+UCSD,2,IGETC,success,4,57,False,15,15,15,12,0,0,
folsom_lake,UCD+UCSD,2,IGETC,success,4,60,False,15,15,15,15,0,0,
folsom_lake,UCB+UCSD,2,IGETC,success,4,58,False,13,15,15,15,0,0,
folsom_lake,UCSC+UCSD,2,IGETC,success,4,58,False,13,15,15,15,0,0,
folsom_lake,UCM+UCSD,2,IGETC,success,4,58,False,13,15,15,15,0,0,
folsom_lake,UCI+UCLA,2,IGETC,success,4,60,False,15,15,15,15,0,0,
folsom_lake,UCLA+UCR,2,IGETC,success,4,57,False,15,15,15,12,0,0,
folsom_lake,UCLA+UCSB,2,IGETC,success,4,54,False,15,15,15,9,0,0,
folsom_lake,UCD+UCLA,2,IGETC,success,5,63,True,15,15,15,15,3,0,
folsom_lake,UCB+UCLA,2,IGETC,success,4,54,False,15,15,15,9,0,0,
folsom_lake,UCLA+UCSC,2,IGETC,success,4,57,False,15,15,15,12,0,0,
folsom_lake,UCLA+UCM,2,IGETC,success,4,54,False,15,15,15,9,0,0,
folsom_lake,UCI+UCR,2,IGETC,success,4,51,False,15,15,15,6,0,0,
folsom_lake,UCI+UCSB,2,IGETC,success,4,57,False,15,15,15,12,0,0,
folsom_lake,UCD+UCI,2,IGETC,success,4,57,False,15,15,15,12,0,0,
folsom_lake,UCB+UCI,2,IGETC,success,4,60,False,15,15,15,15,0,0,
folsom_lake,UCI+UCSC,2,IGETC,success,4,54,False,15,15,15,9,0,0,
folsom_lake,UCI+UCM,2,IGETC,success,4,60,False,15,15,15,15,0,0,
folsom_lake,UCR+UCSB,2,IGETC,success,4,57,False,15,15,15,12,0,0,
folsom_lake,UCD+UCR,2,IGETC,success,4,57,False,15,15,15,12,0,0,
folsom_lake,UCB+UCR,2,IGETC,success,4,57,False,15,15,15,12,0,0,
folsom_lake,UCR+UCSC,2,IGETC,success,4,54,False,15,15,15,9,0,0,
folsom_lake,UCM+UCR,2,IGETC,success,4,60,False,15,15,15,15,0,0,
folsom_lake,UCD+UCSB,2,IGETC,success,5,63,True,15,15,15,15,3,0,
folsom_lake,UCB+UCSB,2,IGETC,success,4,54,False,15,15,15,9,0,0,
folsom_lake,UCSB+UCSC,2,IGETC,success,4,54,False,15,15,15,9,0,0,
folsom_lake,UCM+UCSB,2,IGETC,success,4,54,False,15,15,15,9,0,0,
folsom_lake,UCB+UCD,2,IGETC,success,5,63,True,15,15,15,15,3,0,
folsom_lake,UCD+UCSC,2,IGETC,success,4,57,False,15,15,15,12,0,0,
folsom_lake,UCD+UCM,2,IGETC,success,5,63,True,15,15,15,15,3,0,
folsom_lake,UCB+UCSC,2,IGETC,success,4,58,False,13,15,15,15,0,0,
folsom_lake,UCB+UCM,2,IGETC,success,4,51,False,15,15,15,6,0,0,
folsom_lake,UCM+UCSC,2,IGETC,success,4,58,False,13,15,15,15,0,0,
folsom_lake,UCI+UCLA+UCSD,3,IGETC,success,5,63,True,15,15,15,15,3,0,
folsom_lake,UCLA+UCR+UCSD,3,IGETC,success,5,63,True,15,15,15,15,3,0,
folsom_lake,UCLA+UCSB+UCSD,3,IGETC,success,4,57,False,15,15,15,12,0,0,
folsom_lake,UCD+UCLA+UCSD,3,IGETC,success,5,66,True,15,15,15,15,6,0,
folsom_lake,UCB+UCLA+UCSD,3,IGETC,success,4,57,False,15,15,15,12,0,0,
folsom_lake,UCLA+UCSC+UCSD,3,IGETC,success,4,60,False,15,15,15,15,0,0,
folsom_lake,UCLA+UCM+UCSD,3,IGETC,success,4,57,False,15,15,15,12,0,0,
folsom_lake,UCI+UCR+UCSD,3,IGETC,success,4,60,False,15,15,15,15,0,0,
folsom_lake,UCI+UCSB+UCSD,3,IGETC,success,5,63,True,15,15,15,15,3,0,
folsom_lake,UCD+UCI+UCSD,3,IGETC,success,5,63,True,15,15,15,15,3,0,
folsom_lake,UCB+UCI+UCSD,3,IGETC,success,5,63,True,15,15,15,15,3,0,
folsom_lake,UCI+UCSC+UCSD,3,IGETC,success,5,63,True,15,15,15,15,3,0,
folsom_lake,UCI+UCM+UCSD,3,IGETC,success,5,63,True,15,15,15,15,3,0,
folsom_lake,UCR+UCSB+UCSD,3,IGETC,success,5,63,True,15,15,15,15,3,0,
folsom_lake,UCD+UCR+UCSD,3,IGETC,success,5,63,True,15,15,15,15,3,0,
folsom_lake,UCB+UCR+UCSD,3,IGETC,success,5,63,True,15,15,15,15,3,0,
folsom_lake,UCR+UCSC+UCSD,3,IGETC,success,5,63,True,15,15,15,15,3,0,
folsom_lake,UCM+UCR+UCSD,3,IGETC,success,5,63,True,15,15,15,15,3,0,
folsom_lake,UCD+UCSB+UCSD,3,IGETC,success,5,66,True,15,15,15,15,6,0,
folsom_lake,UCB+UCSB+UCSD,3,IGETC,success,4,57,False,15,15,15,12,0,0,
folsom_lake,UCSB+UCSC+UCSD,3,IGETC,success,4,60,False,15,15,15,15,0,0,
folsom_lake,UCM+UCSB+UCSD,3,IGETC,success,4,57,False,15,15,15,12,0,0,
folsom_lake,UCB+UCD+UCSD,3,IGETC,success,5,63,True,15,15,15,15,3,0,
folsom_lake,UCD+UCSC+UCSD,3,IGETC,success,4,60,False,15,15,15,15,0,0,
folsom_lake,UCD+UCM+UCSD,3,IGETC,success,5,63,True,15,15,15,15,3,0,
folsom_lake,UCB+UCSC+UCSD,3,IGETC,success,5,61,True,13,15,15,15,3,0,
folsom_lake,UCB+UCM+UCSD,3,IGETC,success,4,58,False,13,15,15,15,0,0,
folsom_lake,UCM+UCSC+UCSD,3,IGETC,success,5,61,True,13,15,15,15,3,0,
folsom_lake,UCI+UCLA+UCR,3,IGETC,success,4,60,False,15,15,15,15,0,0,
folsom_lake,UCI+UCLA+UCSB,3,IGETC,success,4,60,False,15,15,15,15,0,0,
folsom_lake,UCD+UCI+UCLA,3,IGETC,success,5,63,True,15,15,15,15,3,0,
folsom_lake,UCB+UCI+UCLA,3,IGETC,success,4,60,False,15,15,15,15,0,0,
folsom_lake,UCI+UCLA+UCSC,3,IGETC,success,5,63,True,15,15,15,15,3,0,
folsom_lake,UCI+UCLA+UCM,3,IGETC,success,4,60,False,15,15,15,15,0,0,
folsom_lake,UCLA+UCR+UCSB,3,IGETC,success,4,60,False,15,15,15,15,0,0,
folsom_lake,UCD+UCLA+UCR,3,IGETC,success,5,63,True,15,15,15,15,3,0,
folsom_lake,UCB+UCLA+UCR,3,IGETC,success,4,57,False,15,15,15,12,0,0,
folsom_lake,UCLA+UCR+UCSC,3,IGETC,success,5,63,True,15,15,15,15,3,0,
folsom_lake,UCLA+UCM+UCR,3,IGETC,success,4,60,False,15,15,15,15,0,0,
folsom_lake,UCD+UCLA+UCSB,3,IGETC,success,5,63,True,15,15,15,15,3,0,
folsom_lake,UCB+UCLA+UCSB,3,IGETC,success,4,54,False,15,15,15,9,0,0,
folsom_lake,UCLA+UCSB+UCSC,3,IGETC,success,4,57,False,15,15,15,12,0,0,
folsom_lake,UCLA+UCM+UCSB,3,IGETC,success,4,54,False,15,15,15,9,0,0,
folsom_lake,UCB+UCD+UCLA,3,IGETC,success,5,63,True,15,15,15,15,3,0,
folsom_lake,UCD+UCLA+UCSC,3,IGETC,success,5,63,True,15,15,15,15,3,0,
folsom_lake,UCD+UCLA+UCM,3,IGETC,success,5,63,True,15,15,15,15,3,0,
folsom_lake,UCB+UCLA+UCSC,3,IGETC,success,4,57,False,15,15,15,12,0,0,
folsom_lake,UCB+UCLA+UCM,3,IGETC,success,4,54,False,15,15,15,9,0,0,
folsom_lake,UCLA+UCM+UCSC,3,IGETC,success,4,57,False,15,15,15,12,0,0,
folsom_lake,UCI+UCR+UCSB,3,IGETC,success,4,57,False,15,15,15,12,0,0,
folsom_lake,UCD+UCI+UCR,3,IGETC,success,4,57,False,15,15,15,12,0,0,
folsom_lake,UCB+UCI+UCR,3,IGETC,success,4,60,False,15,15,15,15,0,0,
folsom_lake,UCI+UCR+UCSC,3,IGETC,success,4,54,False,15,15,15,9,0,0,
folsom_lake,UCI+UCM+UCR,3,IGETC,success,4,60,False,15,15,15,15,0,0,
folsom_lake,UCD+UCI+UCSB,3,IGETC,success,5,63,True,15,15,15,15,3,0,
folsom_lake,UCB+UCI+UCSB,3,IGETC,success,4,60,False,15,15,15,15,0,0,
folsom_lake,UCI+UCSB+UCSC,3,IGETC,success,4,60,False,15,15,15,15,0,0,
folsom_lake,UCI+UCM+UCSB,3,IGETC,success,4,60,False,15,15,15,15,0,0,
folsom_lake,UCB+UCD+UCI,3,IGETC,success,5,63,True,15,15,15,15,3,0,
folsom_lake,UCD+UCI+UCSC,3,IGETC,success,4,57,False,15,15,15,12,0,0,
folsom_lake,UCD+UCI+UCM,3,IGETC,success,5,63,True,15,15,15,15,3,0,
folsom_lake,UCB+UCI+UCSC,3,IGETC,success,5,63,True,15,15,15,15,3,0,
folsom_lake,UCB+UCI+UCM,3,IGETC,success,4,60,False,15,15,15,15,0,0,
folsom_lake,UCI+UCM+UCSC,3,IGETC,success,5,63,True,15,15,15,15,3,0,
