cc,ucs,uc_count,ge_pattern,status,total_terms,total_units,over_2_years,units_term_1,units_term_2,units_term_3,units_term_4,units_term_5,units_term_6,error
mt_san_jacinto,UCSD,1,IGETC,success,4,57,False,15,15,15,12,0,0,
mt_san_jacinto,UCLA,1,IGETC,success,4,54,False,15,15,15,9,0,0,
mt_san_jacinto,UCI,1,IGETC,success,4,48,False,15,15,15,3,0,0,
mt_san_jacinto,UCR,1,IGETC,success,4,48,False,15,15,15,3,0,0,
mt_san_jacinto,UCSB,1,IGETC,success,4,57,False,15,15,15,12,0,0,
mt_san_jacinto,UCD,1,IGETC,success,4,60,False,15,15,15,15,0,0,
mt_san_jacinto,UCB,1,IGETC,success,4,51,False,15,15,15,6,0,0,
mt_san_jacinto,UCSC,1,IGETC,success,4,51,False,15,15,15,6,0,0,
mt_san_jacinto,UCM,1,IGETC,success,4,54,False,15,15,15,9,0,0,
mt_san_jacinto,UCLA+UCSD,2,IGETC,success,5,63,True,15,15,15,15,3,0,
mt_san_jacinto,UCI+UCSD,2,IGETC,success,5,63,True,15,15,15,15,3,0,
mt_san_jacinto,UCR+UCSD,2,IGETC,success,5,63,True,15,15,15,15,3,0,
mt_san_jacinto,UCSB+UCSD,2,IGETC,success,5,63,True,15,15,15,15,3,0,
mt_san_jacinto,UCD+UCSD,2,IGETC,success,5,66,True,15,15,15,15,6,0,
mt_san_jacinto,UCB+UCSD,2,IGETC,success,4,60,False,15,15,15,15,0,0,
mt_san_jacinto,UCSC+UCSD,2,IGETC,success,4,60,False,15,15,15,15,0,0,
mt_san_jacinto,UCM+UCSD,2,IGETC,success,5,63,True,15,15,15,15,3,0,
mt_san_jacinto,UCI+UCLA,2,IGETC,success,4,57,False,15,15,15,12,0,0,
mt_san_jacinto,UCLA+UCR,2,IGETC,success,4,57,False,15,15,15,12,0,0,
mt_san_jacinto,UCLA+UCSB,2,IGETC,success,4,60,False,15,15,15,15,0,0,
mt_san_jacinto,UCD+UCLA,2,IGETC,success,5,66,True,15,15,15,15,6,0,
mt_san_jacinto,UCB+UCLA,2,IGETC,success,4,54,False,15,15,15,9,0,0,
mt_san_jacinto,UCLA+UCSC,2,IGETC,success,5,63,True,15,15,15,15,3,0,
mt_san_jacinto,UCLA+UCM,2,IGETC,success,4,60,False,15,15,15,15,0,0,
mt_san_jacinto,UCI+UCR,2,IGETC,success,4,48,False,15,15,15,3,0,0,
mt_san_jacinto,UCI+UCSB,2,IGETC,success,4,60,False,15,15,15,15,0,0,
mt_san_jacinto,UCD+UCI,2,IGETC,success,4,60,False,15,15,15,15,0,0,
mt_san_jacinto,UCB+UCI,2,IGETC,success,4,57,False,15,15,15,12,0,0,
mt_san_jacinto,UCI+UCSC,2,IGETC,success,4,57,False,15,15,15,12,0,0,
mt_san_jacinto,UCI+UCM,2,IGETC,success,4,60,False,15,15,15,15,0,0,
