cc,ucs,uc_count,ge_pattern,status,total_terms,total_units,over_2_years,units_term_1,units_term_2,units_term_3,units_term_4,units_term_5,units_term_6,error
foothill,UCSD,1,IGETC,success,4,70.5,False,19.5,18.0,18,15,0,0,
foothill,UCLA,1,IGETC,success,4,57,False,18,18,12,9,0,0,
foothill,UCI,1,IGETC,success,3,51,False,18,18,15,0,0,0,
foothill,UCR,1,IGETC,success,3,51,False,18,18,15,0,0,0,
foothill,UCSB,1,IGETC,success,4,60,False,18,18,18,6,0,0,
foothill,UCD,1,IGETC,success,4,63,False,18,18,18,9,0,0,
foothill,UCB,1,IGETC,success,4,54,False,18,18,9,9,0,0,
foothill,UCSC,1,IGETC,success,3,54,False,18,18,18,0,0,0,
foothill,UCM,1,IGETC,success,4,57,False,18,18,12,9,0,0,
foothill,UCLA+UCSD,2,IGETC,success,5,76.5,False,19.5,18.0,18,18,3,0,
foothill,UCI+UCSD,2,IGETC,success,5,79.5,False,18,18.0,19.5,18,6,0,
foothill,UCR+UCSD,2,IGETC,success,4,73.5,False,19.5,18.0,18,18,0,0,
foothill,UCSB+UCSD,2,IGETC,success,5,79.5,False,18,19.5,18,18,6,0,
foothill,UCD+UCSD,2,IGETC,success,5,82.5,False,18,19.5,18.0,18,9,0,
foothill,UCB+UCSD,2,IGETC,success,4,73.5,False,19.5,18.0,18,18,0,0,
foothill,UCSC+UCSD,2,IGETC,success,5,76.5,False,18,19.5,18,18,3,0,
foothill,UCM+UCSD,2,IGETC,success,5,76.5,False,19.5,18.0,18,18,3,0,
foothill,UCI+UCLA,2,IGETC,success,4,66,False,18,18,18,12,0,0,
foothill,UCLA+UCR,2,IGETC,success,4,63,False,18,18,18,9,0,0,
foothill,UCLA+UCSB,2,IGETC,success,4,63,False,18,18,18,9,0,0,
foothill,UCD+UCLA,2,IGETC,success,5,75,False,18,18,18,18,3,0,
foothill,UCB+UCLA,2,IGETC,success,4,57,False,18,18,12,9,0,0,
foothill,UCLA+UCSC,2,IGETC,success,4,66,False,18,18,18,12,0,0,
foothill,UCLA+UCM,2,IGETC,success,4,60,False,18,18,15,9,0,0,
foothill,UCI+UCR,2,IGETC,success,4,60,False,18,18,18,6,0,0,
foothill,UCI+UCSB,2,IGETC,success,4,69,False,18,18,18,15,0,0,
foothill,UCD+UCI,2,IGETC,success,5,72,False,18,18,18,15,3,0,
foothill,UCB+UCI,2,IGETC,success,4,63,False,18,18,18,9,0,0,
foothill,UCI+UCSC,2,IGETC,success,4,63,False,18,18,18,9,0,0,
foothill,UCI+UCM,2,IGETC,success,4,66,False,18,18,18,12,0,0,
foothill,UCR+UCSB,2,IGETC,success,4,66,False,18,18,18,12,0,0,
foothill,UCD+UCR,2,IGETC,success,4,63,False,18,18,18,9,0,0,
foothill,UCB+UCR,2,IGETC,success,4,60,False,18,18,15,9,0,0,
foothill,UCR+UCSC,2,IGETC,success,4,60,False,18,18,18,6,0,0,
foothill,UCM+UCR,2,IGETC,success,4,63,False,18,18,18,9,0,0,
foothill,UCD+UCSB,2,IGETC,success,5,75,False,18,18,18,18,3,0,
foothill,UCB+UCSB,2,IGETC,success,4,63,False,18,18,18,9,0,0,
foothill,UCSB+UCSC,2,IGETC,success,4,66,False,18,18,18,12,0,0,
foothill,UCM+UCSB,2,IGETC,success,4,66,False,18,18,18,12,0,0,
foothill,UCB+UCD,2,IGETC,success,4,72,False,18,18,18,18,0,0,
foothill,UCD+UCSC,2,IGETC,success,4,63,False,18,18,18,9,0,0,
foothill,UCD+UCM,2,IGETC,success,4,72,False,18,18,18,18,0,0,
foothill,UCB+UCSC,2,IGETC,success,4,63,False,18,18,18,9,0,0,
foothill,UCB+UCM,2,IGETC,success,4,57,False,18,18,12,9,0,0,
foothill,UCM+UCSC,2,IGETC,success,4,63,False,18,18,18,9,0,0,
foothill,UCI+UCLA+UCSD,3,IGETC,success,5,85.5,False,18,19.5,18.0,18,12,0,
