UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4,Courses Group 5,Courses Group 6,Courses Group 7,Courses Group 8,Courses Group 9,Courses Group 10,Courses Group 11,Courses Group 12
University of California Berkeley,Diablo Valley College,MATH 51,MATH 192 (5.00),,,,,,,,,,,
University of California Berkeley,Diablo Valley College,MATH 52,MATH 193 (5.00),,,,,,,,,,,
University of California Berkeley,Diablo Valley College,MATH 53,MATH 292 (5.00),,,,,,,,,,,
University of California Berkeley,Diablo Valley College,MATH 54,MATH 194 (3.00); MATH 294 (5.00),,,,,,,,,,,
University of California Berkeley,Diablo Valley College,PHYSICS 7A,PHYS 130 (4.00),,,,,,,,,,,
University of California Berkeley,Diablo Valley College,PHYSICS 7B,PHYS 230 (4.00),,,,,,,,,,,
University of California Berkeley,Diablo Valley College,ASTRON 7A,Not Articulated,,,,,,,,,,,
University of California Berkeley,Diablo Valley College,ASTRON 7B,Not Articulated,,,,,,,,,,,
University of California Berkeley,Diablo Valley College,BIOLOGY 1A; BIOLOGY 1AL,BIOSC 130 (5.00),,,,,,,,,,,
University of California Berkeley,Diablo Valley College,BIOLOGY 1B,BIOSC 131 (5.00),,,,,,,,,,,
University of California Berkeley,Diablo Valley College,CHEM 1A; CHEM 1AL,CHEM 120 (5.00),,,,,,,,,,,
University of California Berkeley,Diablo Valley College,CHEM 1B,CHEM 121 (5.00),,,,,,,,,,,
University of California Berkeley,Diablo Valley College,CHEM 3A; CHEM 3AL,CHEM 226 (5.00),,,,,,,,,,,
University of California Berkeley,Diablo Valley College,CHEM 3B; CHEM 3BL,CHEM 227 (5.00),,,,,,,,,,,
University of California Berkeley,Diablo Valley College,MCELLBI 32; MCELLBI 32L,BIOSC 120 (5.00),BIOSC 140 (5.00),,,,,,,,,,
University of California Berkeley,Diablo Valley College,PHYSICS 7C,PHYS 231 (4.00),,,,,,,,,,,
University of California Berkeley,Diablo Valley College,COMPSCI 61A,COMSC 140 (3.00),COMSC 240 (3.00); MATH 192 (5.00),,,,,,,,,,
University of California Berkeley,Diablo Valley College,COMPSCI 61B,COMSC 210 (4.00),,,,,,,,,,,
