Semester,Course,Credits,UCs Fulfilled
1,MATH 184,5.0,UCB; UCLA; UCM; UCSB; UCSD
1,MATH 181,4.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 182,4.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 183,4.0,UCB; UCD; UCLA; UCM; UCSD
2,CS 112,4.0,UCM; UCR; UCSB; UCSC; UCSD
2,CS 111,4.0,UCR; UCSB
2,CS 161,3.0,UCD; UCSB; UCSC; UCSD
2,CS 131,3.0,UCD; UCSC
UNARTICULATED,ECS 036A,,UCD
UNARTICULATED,ECS 036B,,UCD
UNARTICULATED,ECS 036C,,UCD
UNARTICULATED,I&C SCI 31; I&C SCI 32; I&C SCI 33,,UCI
UNARTICULATED,COM SCI 31,,UCLA
UNARTICULATED,CSE 12,,UCSD
