Semester,Course,Credits,UCs Fulfilled
1,MATH 150,5.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 150H,5.0,UCI
1,MATH 160,4.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 220,4.0,UCB; UCLA; UCM; UCSB; UCSD
2,MATH 230,4.0,UCB; UCLA; UCM; UCSB
2,MATH 250,4.0,UCB; UCD; UCLA; UCM; UCSD
2,CS 131,3.0,UCD; UCSC; UCSD
2,CS 150,3.0,UCD; UCSB; UCSC; UCSD
2,CS 140,3.0,UCD; UCSC
3,CS 120,3.0,UCI
3,CS 130,3.0,UCI; UCM; UCSB; UCSD
3,CS 230,3.0,UCI; UCSD
3,CS 132,3.0,UCSD
3,CS 231,3.0,UCSD
UNARTICULATED,ECS 036A,,UCD
UNARTICULATED,ECS 036B,,UCD
UNARTICULATED,COM SCI 31,,UCLA
UNARTICULATED,CS 10A,,UCR
UNARTICULATED,CS 10B,,UCR
UNARTICULATED,CMPSC 16,,UCSB
