Semester,Course,Credits,UCs Fulfilled
1,MATH B6A,4.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH B6B,4.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH B6C,4.0,UCB; UCD; UCLA; UCM; UCSD
1,ENGR B19C,4.0,UCR; UCSB
2,MATH B6D,3.0,UCB; UCLA; UCM; UCSB
2,MATH B6E,3.0,UCB; UCLA; UCM; UCSB; UCSD
2,COMP B14,3.0,UCD; UCSB; UCSC
2,COMP B12,3.0,UCD; UCLA; UCM; UCR; UCSC
UNARTICULATED,ECS 036A,,UCD
UNARTICULATED,ECS 036C,,UCD
UNARTICULATED,ECS 050,,UCD
UNARTICULATED,I&C SCI 31; I&C SCI 32; I&C SCI 33,,UCI
UNARTICULATED,CMPSC 24,,UCSB
UNARTICULATED,CSE 12,,UCSC
UNARTICULATED,CSE 12,,UCSD
UNARTICULATED,CSE 20,,UCSD
UNARTICULATED,CSE 8B,,UCSD
