Semester,Course,Credits,UCs Fulfilled
1,MATH 3A,5.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 3B,5.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 3C,5.0,UCB; UCD; UCLA; UCM; UCSD
2,CIS 6,5.0,UCD; UCI
2,CIS 27,4.0,UCD; UCLA; UCM; UCSB; UCSC
2,CIS 25,4.0,UCD; UCI; UCLA; UCR; UCSB
2,CIS 20,4.0,UCD; UCSC
3,CIS 36B,4.0,UCR
3,MATH 11,4.0,UCSB; UCSC
3,CIS 36A,4.0,UCSD
3,MATH 3E,3.0,UCB; UCLA; UCM; UCSB; UCSD
3,MATH 3F,3.0,UCB; UCLA; UCM; UCSB
UNARTICULATED,ECS 020,,UCD
UNARTICULATED,CSE 12,,UCSD
UNARTICULATED,CSE 20,,UCSD
