Semester,Course,Credits,UCs Fulfilled
1,MATH 251,5.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 252,5.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 253,5.0,UCB; UCD; UCLA; UCM; UCSD
2,CIS 118,4.0,UCD; UCR
2,MATH 270,3.0,UCB; UCLA; UCM; UCSB; UCSD
2,MATH 275,3.0,UCB; UCLA; UCM; UCSB
2,CIS 262,3.0,UCD; UCSB; UCSC
2,CIS 250,3.0,UCD; UCI; UCLA; UCR; UCSB
3,CIS 242,3.0,UCD; UCSC
3,CIS 252,3.0,UCI; UCM; UCSB; UCSC
3,CIS 286,3.0,UCSD
3,CIS 284,3.0,UCSD
UNARTICULATED,ECS 036C,,UCD
UNARTICULATED,CSE 20,,UCSD
