Semester,Course,Credits,UCs Fulfilled
1,MATH C151,4.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH C152,4.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH C255,4.0,UCB; UCLA; UCM; UCSB
1,MATH C257,4.0,UCB; UCLA; UCM; UCSB; UCSD
2,MATH C251,4.0,UCB; UCD; UCLA; UCM; UCSD
2,CSCI C255,3.0,UCD; UCSB
2,CSCI C257,3.0,UCD
UNARTICULATED,ECS 036A,,UCD
UNARTICULATED,ECS 036B,,UCD
UNARTICULATED,ECS 036C,,UCD
UNARTICULATED,I&C SCI 31; I&C SCI 32; I&C SCI 33,,UCI
UNARTICULATED,COM SCI 31,,UCLA
UNARTICULATED,CSE 030,,UCM
UNARTICULATED,CS 10A,,UCR
UNARTICULATED,CS 10B,,UCR
UNARTICULATED,CMPSC 16,,UCSB
UNARTICULATED,CMPSC 24,,UCSB
UNARTICULATED,CSE 12,,UCSC
UNARTICULATED,CSE 16,,UCSC
UNARTICULATED,CSE 30,,UCSC
UNARTICULATED,CSE 12,,UCSD
UNARTICULATED,CSE 20,,UCSD
UNARTICULATED,CSE 8B,,UCSD
