Semester,Course,Credits,UCs Fulfilled
1,MATH 75,5.0,UCB; UCD; UCLA; UCM; UCSD
1,MATH 65A,4.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 65B,4.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 81,4.0,UCB; UCLA; UCM; UCSB; UCSD
2,MATH 85,4.0,UCB; UCLA; UCM; UCSB
2,COMPSCI 4,3.0,UCD; UCSB
2,ENGIN 30,3.0,UCD; UCLA; UCR
2,COMPSCI 2,3.0,UCD; UCI; UCM; UCSB
2,COMPSCI 1,3.0,UCI; UCLA; UCSB
UNARTICULATED,ECS 036C,,UCD
UNARTICULATED,ECS 050,,UCD
UNARTICULATED,CS 10B,,UCR
UNARTICULATED,CSE 12,,UCSC
UNARTICULATED,CSE 16,,UCSC
UNARTICULATED,CSE 30,,UCSC
UNARTICULATED,CSE 12,,UCSD
UNARTICULATED,CSE 20,,UCSD
UNARTICULATED,CSE 8B,,UCSD
