Semester,Course,Credits,UCs Fulfilled
1,MATH 110A,5.0,UCB; UCD; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 110B,5.0,UCB; UCD; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 130,5.0,UCB; UCM
2,MATH 110C,5.0,UCB; UCD; UCLA; UCM; UCSD
2,CS 110B,4.0,UCD; UCLA; UCR; UCSB
2,CS 110C,4.0,UCD; UCM; UCSB; UCSC; UCSD
2,CS 270,4.0,UCD; UCSC
3,CS 131B,4.0,UCI
3,CS 110A,4.0,UCR
3,CS 111B,4.0,UCSD
3,MATH 115,3.0,UCD; UCSB; UCSC; UCSD
3,MATH 100A,3.0,UCI
4,MATH 100B,3.0,UCI
4,CS 231,3.0,UCI
4,MATH 125,3.0,UCLA; UCSB
4,MATH 120,3.0,UCLA; UCSB; UCSD
