Semester,Course,Credits,UCs Fulfilled
1,MATH 123,5.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 124,5.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 223,5.0,UCB; UCD; UCLA; UCM; UCSD
2,MATH 116,4.0,UCB; UCLA; UCM; UCSB; UCSD
2,MATH 224,4.0,UCB; UCLA; UCM; UCSB
2,COMP 220,4.0,UCD; UCM; UCSB; UCSC; UCSD
2,COMP 130,4.0,UCD; UCR; UCSB
3,COMP 232,4.0,UCD; UCI
3,COMP 135,4.0,UCI
3,COMP 235,4.0,UCLA; UCR
3,COMP 117,3.0,UCD; UCSB; UCSC; UCSD
3,COMP 160,3.0,UCD; UCSC
UNARTICULATED,CSE 8B,,UCSD
