Semester,Course,Credits,UCs Fulfilled
1,MATH 251,5.0,UCB; UCD; UCI; UCLA; UCM; UCSB; UCSC; UCSD
1,MATH 252,5.0,UCB; UCD; UCI; UCLA; UCM; UCSB; UCSC; UCSD
1,MATH 253,5.0,UCB; UCLA; UCM; UCSD
2,MATH 241,5.0,UCR
2,CIS 256,4.0,UCD; UCM; UCSC; UCSD
2,CIS 278,4.0,UCD; UCLA; UCSB
2,CIS 264,4.0,UCD; UCSC
3,CIS 117,4.0,UCI
3,CIS 502,4.0,UCI
3,CIS 254,4.0,UCR
3,CIS 255,4.0,UCR; UCSD
4,CIS 279,4.0,UCSB
4,MATH 268,4.0,UCSD
4,MATH 270,3.0,UCB; UCLA; UCM; UCSB; UCSD
4,MATH 275,3.0,UCB; UCLA; UCM; UCSB
4,CIS 262,3.0,UCD; UCSB; UCSC
5,MATH 242,3.0,UCR
UNARTICULATED,ECS 036A,,UCD
