Semester,Course,Credits,UCs Fulfilled
1,MATH 211,5.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 212,5.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 213,5.0,UCB; UCD; UCLA; UCM; UCSD
2,MATH 240,5.0,UCI
2,MATH 214,4.0,UCB; UCLA; UCM; UCSB; UCSD
2,MATH 215,4.0,UCB; UCLA; UCM; UCSB
2,CMPSCI 256,3.0,UCD; UCSB; UCSC; UCSD
3,CMPSCI 235,3.0,UCD; UCR; UCSB
3,CMPSCI 236,3.0,UCD; UCLA; UCR; UCSB
3,CMPSCI 182,3.0,UCM; UCSB; UCSC; UCSD
3,CMPSCI 282,3.0,UCSB
3,CMPSCI 122,3.0,UCSC
3,CMPSCI 111,3.0,UCSD
4,CMPSCI 182L,1.0,UCM; UCSB; UCSC; UCSD
4,CMPSCI 111L,1.0,UCSD
UNARTICULATED,ECS 036C,,UCD
UNARTICULATED,ECS 050,,UCD
UNARTICULATED,I&C SCI 31; I&C SCI 32; I&C SCI 33,,UCI
