Semester,Course,Credits,UCs Fulfilled
1,MATH 081,5.0,UCB; UCLA; UCM; UCSB
1,MATH 065,4.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 066,4.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 080,4.0,UCB; UCLA; UCM; UCSB; UCSD
2,MATH 067,4.0,UCB; UCD; UCLA; UCM; UCSD
2,COMP 008,4.0,UCD; UCR
2,CSCI 002,4.0,UCD; UCI; UCM; UCR; UCSB; UCSC
2,CSCI 001,4.0,UCI; UCSB
3,CSCI 005,3.0,UCD
3,CSCI 006,3.0,UCSB
UNARTICULATED,ECS 020,,UCD
UNARTICULATED,ECS 036C,,UCD
UNARTICULATED,COM SCI 31,,UCLA
UNARTICULATED,CSE 12,,UCSC
UNARTICULATED,CSE 16,,UCSC
UNARTICULATED,CSE 12,,UCSD
UNARTICULATED,CSE 20,,UCSD
UNARTICULATED,CSE 8B,,UCSD
