Semester,Course,Credits,UCs Fulfilled
1,MATH 190,5.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 290,5.0,UCB; UCD; UCLA; UCM; UCSD
1,MATH 191,4.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 200,4.0,UCB; UCLA; UCM; UCSB; UCSD
2,MATH 292,4.0,UCB; UCLA; UCM; UCSB
2,COMP 210,4.0,UCD; UCM; UCSB
2,COMP 165,4.0,UCD; UCI; UCLA; UCR; UCSB
2,COMP 200,4.0,UCD; UCI; UCR
3,COMP 265,4.0,UCD; UCSC
3,COMP 112,4.0,UCI; UCR
3,MATH 185,3.0,UCD; UCSB; UCSC; UCSD
UNARTICULATED,CSE 30,,UCSC
UNARTICULATED,CSE 12,,UCSD
UNARTICULATED,CSE 8B,,UCSD
