Semester,Course,Credits,UCs Fulfilled
1,MATH 252,5.0,UCB; UCD; UCLA; UCM; UCSD
1,MATH 250,4.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 251,4.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 265,4.0,UCB; UCLA; UCM; UCSB; UCSD
2,MATH 266,4.0,UCB; UCLA; UCM; UCSB
2,CSCI 200,4.0,UCD; UCSB; UCSC
2,CSCI 110,4.0,UCI; UCR; UCSB
2,CSCI 230,3.0,UCD; UCM; UCSC
2,CIS 113,3.0,UCD
3,CSCI 120,3.0,UCD; UCI; UCR
3,CSCI 240,3.0,UCD; UCSC
UNARTICULATED,COM SCI 31,,UCLA
UNARTICULATED,CMPSC 24,,UCSB
UNARTICULATED,CSE 12,,UCSD
UNARTICULATED,CSE 20,,UCSD
UNARTICULATED,CSE 8B,,UCSD
