Semester,Course,Credits,UCs Fulfilled
1,MATH 265A,5.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 265B,5.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 287,5.0,UCB; UCLA; UCM; UCSB; UCSD
2,MATH 283,5.0,UCB; UCD; UCLA; UCM; UCSD
2,CIS 231,4.0,UCSD
2,CIS 241,3.0,UCD; UCSB; UCSC; UCSD
2,CIS 240,3.0,UCD; UCSC
2,CIS 217,3.0,UCR; UCSB
3,CIS 232,2.0,UCD; UCR; UCSC; UCSD
3,CIS 233,2.0,UCD; UCM; UCR; UCSC; UCSD
UNARTICULATED,I&C SCI 31; I&C SCI 32; I&C SCI 33,,UCI
UNARTICULATED,COM SCI 31,,UCLA
UNARTICULATED,CMPSC 24,,UCSB
