Semester,Course,Credits,UCs Fulfilled
1,MATH 180,5.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 280,4.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 281,4.0,UCB; UCD; UCLA; UCM; UCSD
1,CS 281,4.0,UCD; UCM; UCR; UCSB; UCSC
2,MATH 178,4.0,UCI
2,CS 181,4.0,UCR; UCSB; UCSD
2,CS 282,4.0,UCSD
2,MATH 284,3.0,UCB; UCLA; UCM; UCSB; UCSD
2,MATH 285,3.0,UCB; UCLA; UCM; UCSB
3,MATH 245,3.0,UCD; UCSC; UCSD
3,CS 119,3.0,UCD
3,CS 240,3.0,UCSB
UNARTICULATED,ECS 036C,,UCD
UNARTICULATED,ECS 050,,UCD
UNARTICULATED,I&C SCI 31; I&C SCI 32; I&C SCI 33,,UCI
UNARTICULATED,COM SCI 31,,UCLA
UNARTICULATED,CSE 12,,UCSC
