Semester,Course,Credits,UCs Fulfilled
1,MATH 1A,5.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 1B,5.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 1C,5.0,UCB; UCD; UCLA; UCM; UCR; UCSC; UCSD
2,MATH 2A,5.0,UCB; UCLA; UCM; UCSB
2,MATH 2B,5.0,UCB; UCLA; UCM; UCSB; UCSD
2,MATH 1D,5.0,UCB; UCLA; UCM; UCSD
3,MATH 22,5.0,UCD; UCSB; UCSC; UCSD
3,MATH 1BH,5.0,UCSB
3,CIS 22C,4.5,UCD; UCM; UCSB; UCSC; UCSD
4,CIS 22A,4.5,UCD; UCR
4,CIS 22B,4.5,UCD; UCR; UCSB
4,CIS 21JA,4.5,UCD; UCSC
4,CIS 40,4.5,UCI
5,CIS 41A,4.5,UCI
5,CIS 41B,4.5,UCI
5,CIS 27,4.5,UCLA
5,CIS 29,4.5,UCSB
6,CIS 36B,4.5,UCSD
