Semester,Course,Credits,UCs Fulfilled
1,MATH 192,5.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 193,5.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 294,5.0,UCB; UCLA; UCM; UCSB
2,MATH 292,5.0,UCB; UCD; UCLA; UCM; UCSD
2,COMSC 210,4.0,UCD; UCI; UCM; UCSB; UCSC; UCSD
2,MATH 195,4.0,UCD; UCSC; UCSD
2,COMSC 110,4.0,UCD; UCI; UCR
3,COMSC 200,4.0,UCD; UCI; UCR; UCSD
3,COMSC 260,4.0,UCD; UCSC
3,MATH 182,4.0,UCI
3,COMSC 165,4.0,UCI; UCLA; UCSB
4,MATH 194,3.0,UCB; UCLA; UCM; UCSB; UCSD
4,COMSC 230,3.0,UCSB
