Semester,Course,Credits,UCs Fulfilled
1,MATH 261,5.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 262,5.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 263,5.0,UCB; UCD; UCLA; UCM; UCSD
2,MATH 272,5.0,UCD; UCSB; UCSC; UCSD
2,MATH 173,4.0,UCI
2,MATH 273,4.0,UCI; UCM; UCSC
2,MATH 270,3.0,UCB; UCLA; UCM; UCSB; UCSD
3,MATH 275,3.0,UCB; UCLA; UCM; UCSB
3,CS 113,3.0,UCD
3,CS 116,3.0,UCD; UCR; UCSB
3,CS 136,3.0,UCSB; UCSD
3,CS 216,3.0,UCSD
UNARTICULATED,ECS 036C,,UCD
UNARTICULATED,ECS 050,,UCD
UNARTICULATED,COM SCI 31,,UCLA
UNARTICULATED,CS 10B,,UCR
UNARTICULATED,CSE 12,,UCSC
