Semester,Course,Credits,UCs Fulfilled
1,MATH 071,5.0,UCB; UCM; UCR; UCSC; UCSD
1,MATH 072,5.0,UCB; UCM; UCR; UCSC; UCSD
1,MATH 073,5.0,UCB; UCD; UCLA; UCM; UCSD
2,MATH 078,4.0,UCB; UCLA; UCM; UCSB
2,MATH 066,4.0,UCD; UCI; UCLA; UCSB
2,MATH 067,4.0,UCD; UCI; UCLA; UCSB
2,ENGR 050,4.0,UCD
3,MATH 079,3.0,UCB; UCLA; UCM; UCSB; UCSD
3,COMSC 080,3.0,UCD; UCSB; UCSC; UCSD
3,COMSC 077,3.0,UCD; UCSC
3,COMSC 075,3.0,UCI; UCR
3,COMSC 076,3.0,UCI; UCR; UCSB; UCSC; UCSD
3,COMSC 041,3.0,UCLA
4,COMSC 042,3.0,UCM; UCSB
4,COMSC 079C,3.0,UCSB
UNARTICULATED,ECS 036B,,UCD
UNARTICULATED,ECS 036C,,UCD
UNARTICULATED,CSE 12,,UCSD
