Semester,Course,Credits,UCs Fulfilled
1,MATH 1A,5.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 1B,5.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 1C,5.0,UCB; UCD; UCLA; UCM; UCR; UCSB; UCSC; UCSD
2,MATH 2A,5.0,UCB; UCLA; UCM; UCSB
2,MATH 2B,5.0,UCB; UCLA; UCM; UCSB; UCSD
2,MATH 1D,5.0,UCB; UCLA; UCM; UCSD
3,C S 18,5.0,UCD; UCSB; UCSC
3,MATH 22,5.0,UCSD
3,C S 1C,4.5,UCD; UCM; UCSC
4,C S 1A,4.5,UCD; UCR
4,C S 1B,4.5,UCD; UCR; UCSD
4,C S 10,4.5,UCD; UCSC
4,C S 2A,4.5,UCI; UCLA; UCSB
5,C S 2B,4.5,UCI
5,C S 2C,4.5,UCSB; UCSD
