Semester,Course,Credits,UCs Fulfilled
1,MATH 151 F,4.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 152 F,4.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 252 F,4.0,UCB; UCLA; UCM; UCSB
1,MATH 251 F,4.0,UCB; UCD; UCLA; UCM; UCSD
2,MATH 171 F,4.0,UCD; UCSD
2,CSCI 123 F,4.0,UCD; UCI; UCLA; UCSB
2,CSCI 133 F,4.0,UCD; UCI; UCM; UCSB; UCSC; UCSD
2,CSCI 241 F,4.0,UCD; UCSC
3,CIS 226 F,4.0,UCR; UCSD
3,MATH 170 F,4.0,UCSB; UCSC
3,CIS 223 F,3.0,UCR
3,MATH 255 F,3.0,UCSD
UNARTICULATED,ECS 036C,,UCD
