Semester,Course,Credits,UCs Fulfilled
1,MATH 103E+,6.0,UCI
1,MATH 103E,5.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 104E,5.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
2,MATH 107,5.0,UCB; UCLA; UCM; UCSB; UCSD
2,MATH 108,5.0,UCB; UCLA; UCM; UCSB
2,MATH 105,5.0,UCB; UCD; UCLA; UCM; UCSD
3,MATH 103EH,5.0,UCI
3,CS/IS 211,4.0,UCD; UCM; UCSB; UCSC; UCSD
3,CS/IS 125,4.0,UCD; UCSB; UCSD
3,CS/IS 137,4.0,UCD; UCI; UCR
4,CS/IS 165,4.0,UCD; UCSC
4,CS/IS 135,3.0,UCD; UCI; UCLA; UCR; UCSB
4,CS/IS 139,3.0,UCSD
UNARTICULATED,CSE 16,,UCSC
