Semester,Course,Credits,UCs Fulfilled
1,MATH G285,5.0,UCB; UCLA; UCM; UCSB
1,MATH G180,4.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH G185,4.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH G280,4.0,UCB; UCD; UCLA; UCM; UCSD
2,CS G179,4.0,UCI
2,MATH G235,4.0,UCLA; UCSB; UCSD
2,CS G262,3.0,UCD; UCSB; UCSC; UCSD
2,CS G153,3.0,UCD; UCR
2,CS G189,3.0,UCD; UCI; UCM; UCR; UCSB; UCSC; UCSD
3,CS G175,3.0,UCI; UCLA; UCSB
3,CS G131,3.0,UCI
3,CS G154,3.0,UCSD
UNARTICULATED,ECS 036C,,UCD
UNARTICULATED,ECS 050,,UCD
UNARTICULATED,CSE 12,,UCSC
