Semester,Course,Credits,UCs Fulfilled
1,MATH 180,5.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 280,4.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 281,4.0,UCB; UCD; UCLA; UCM; UCSD
1,CSIS 296,4.0,UCD; UCLA; UCSB
2,CSIS 294,4.0,UCD; UCI; UCSB; UCSC; UCSD
2,CSIS 165,4.0,UCD; UCSC
2,MATH 178,4.0,UCI
2,CSIS 293,4.0,UCI; UCR
3,CSIS 297,4.0,UCR; UCSB; UCSD
3,MATH 284,3.0,UCB; UCLA; UCM; UCSB; UCSD
3,MATH 285,3.0,UCB; UCLA; UCM; UCSB
3,CSIS 240,3.0,UCD; UCSB
3,MATH 245,3.0,UCSC; UCSD
UNARTICULATED,ECS 036C,,UCD
UNARTICULATED,CSE 030,,UCM
