Semester,Course,Credits,UCs Fulfilled
1,MATH 3A,5.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 3B,5.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 4A,5.0,UCB; UCD; UCLA; UCM; UCSD
2,MATH 24,4.0,UCB; UCLA; UCM; UCSB
2,MATH 26,4.0,UCB; UCLA; UCM; UCSB; UCSD
2,CS 41,3.0,UCD; UCM; UCSB; UCSC; UCSD
2,CS 6A,3.0,UCD; UCSB; UCSC
2,CS 36,3.0,UCD; UCSB
3,CS 37,3.0,UCD; UCLA
3,CS 40A,3.0,UCD; UCSC
3,CS 10,3.0,UCR
3,CS 38,3.0,UCR; UCSD
3,CS 40B,3.0,UCSC
3,CS 6B,3.0,UCSC
4,MATH 6A,3.0,UCSD
UNARTICULATED,I&C SCI 31; I&C SCI 32; I&C SCI 33,,UCI
