Semester,Course,Credits,UCs Fulfilled
1,MAT 105,5.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MAT 106,5.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MAT 107,5.0,UCB; UCD; UCLA; UCM; UCR; UCSC
2,MAT 203,5.0,UCB; UCLA; UCM; UCSB; UCSD
2,MAT 204,5.0,UCB; UCLA; UCM; UCSB
2,MAT 202,5.0,UCB; UCLA; UCM; UCSD
3,CIS 120A,4.0,UCI; UCR
3,CIS 120B,4.0,UCI; UCR; UCSD
3,CIS 120C,4.0,UCI; UCM; UCR; UCSC; UCSD
UNARTICULATED,ECS 020,,UCD
UNARTICULATED,ECS 036A,,UCD
UNARTICULATED,ECS 036B,,UCD
UNARTICULATED,ECS 036C,,UCD
UNARTICULATED,ECS 050,,UCD
UNARTICULATED,COM SCI 31,,UCLA
UNARTICULATED,CMPSC 16,,UCSB
UNARTICULATED,CMPSC 24,,UCSB
UNARTICULATED,CMPSC 40,,UCSB
UNARTICULATED,CSE 12,,UCSC
UNARTICULATED,CSE 16,,UCSC
UNARTICULATED,CSE 20,,UCSD
