Semester,Course,Credits,UCs Fulfilled
1,MATH 60,5.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 70,5.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 84,5.0,UCB; UCLA; UCM; UCSB; UCSD
2,MATH 80,5.0,UCB; UCD; UCLA; UCM; UCSD
2,MATH 55,4.0,UCD; UCSB; UCSC
2,CS 12,4.0,UCD; UCI; UCLA; UCR; UCSB
2,CS 11,3.0,UCD; UCI; UCLA; UCR; UCSB
3,CS 51,3.0,UCD
3,CS 22,3.0,UCM; UCSB; UCSC; UCSD
UNARTICULATED,ECS 036C,,UCD
UNARTICULATED,CSE 12,,UCSC
UNARTICULATED,CSE 20,,UCSD
UNARTICULATED,CSE 8B,,UCSD
