Semester,Course,Credits,UCs Fulfilled
1,MATH 261,5.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 262,5.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 263,5.0,UCB; UCD; UCLA; UCM; UCSD
2,MATH 272,5.0,UCD; UCSC; UCSD
2,MATH 261S,5.0,UCI; UCLA
2,MATH 270,3.0,UCB; UCLA; UCM; UCSB; UCSD
2,MATH 275,3.0,UCB; UCLA; UCM; UCSB
3,CS 136,3.0,UCD; UCM; UCSB; UCSC; UCSD
3,CS 116,3.0,UCD; UCR
3,CS 216,3.0,UCD; UCLA; UCR; UCSD
3,CS 130,3.0,UCD; UCSC
3,CS 113,3.0,UCI
3,CS 213,3.0,UCI
4,CS 131,3.0,UCSB
4,CS 102,3.0,UCSB
