Semester,Course,Credits,UCs Fulfilled
1,MATH 265,5.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 266,5.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 267,5.0,UCB; UCD; UCLA; UCM; UCSD
2,MATH 173,4.0,UCI
2,MATH 273,4.0,UCI
2,MATH 270,3.0,UCB; UCLA; UCM; UCSB; UCSD
2,MATH 275,3.0,UCB; UCLA; UCM; UCSB
2,CS 131,3.0,UCD; UCSB; UCSC
3,CS 113,3.0,UCD; UCSD
3,CS 116,3.0,UCD; UCR; UCSB
3,CS 130,3.0,UCD; UCSC
3,CS 136,3.0,UCLA; UCM; UCR; UCSB; UCSD
UNARTICULATED,ECS 036C,,UCD
UNARTICULATED,CSE 30,,UCSC
UNARTICULATED,CSE 20,,UCSD
