Semester,Course,Credits,UCs Fulfilled
1,MATH 265,5.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 266,5.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 267,5.0,UCB; UCD; UCLA; UCM; UCSD
1,MATH 270,3.0,UCB; UCLA; UCM; UCSB; UCSD
2,MATH 275,3.0,UCB; UCLA; UCM; UCSB
2,CS 114,3.0,UCD; UCR; UCSB
2,CS 118,3.0,UCD
2,CS 136,3.0,UCM; UCSB; UCSC; UCSD
2,CS 113,3.0,UCSD
UNARTICULATED,ECS 020,,UCD
UNARTICULATED,ECS 036B,,UCD
UNARTICULATED,ECS 036C,,UCD
UNARTICULATED,I&C SCI 31; I&C SCI 32; I&C SCI 33,,UCI
UNARTICULATED,COM SCI 31,,UCLA
UNARTICULATED,CS 10B,,UCR
UNARTICULATED,CMPSC 40,,UCSB
UNARTICULATED,CSE 12,,UCSC
UNARTICULATED,CSE 16,,UCSC
UNARTICULATED,CSE 20,,UCSD
