Semester,Course,Credits,UCs Fulfilled
1,MATH 261,5.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 262,5.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 263,5.0,UCB; UCD; UCLA; UCM; UCSC; UCSD
2,MATH 272,5.0,UCD; UCSB; UCSC; UCSD
2,MATH 270,3.0,UCB; UCLA; UCM; UCSB; UCSD
2,MATH 275,3.0,UCB; UCLA; UCM; UCSB
2,CS 113,3.0,UCD
2,CS 216,3.0,UCD; UCI; UCLA; UCR; UCSD
3,CS 116,3.0,UCI; UCR; UCSB
UNARTICULATED,ECS 036C,,UCD
UNARTICULATED,ECS 050,,UCD
UNARTICULATED,CSE 030,,UCM
UNARTICULATED,CMPSC 24,,UCSB
UNARTICULATED,CSE 12,,UCSC
UNARTICULATED,CSE 30,,UCSC
UNARTICULATED,CSE 12,,UCSD
