Semester,Course,Credits,UCs Fulfilled
1,MATH 261,5.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 262,5.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 263,5.0,UCB; UCD; UCLA; UCM; UCSD
1,MATH 270,3.0,UCB; UCLA; UCM; UCSB; UCSD
2,MATH 275,3.0,UCB; UCLA; UCM; UCSB
2,CS 115,3.0,UCD
2,CS 216,3.0,UCD; UCI; UCLA; UCSD
2,CS 130,3.0,UCD
2,CS 117,3.0,UCI; UCR; UCSB
2,CS 136,3.0,UCM; UCSB; UCSC; UCSD
3,CS 220,3.0,UCR
3,CS 131,3.0,UCSB
UNARTICULATED,ECS 020,,UCD
UNARTICULATED,ECS 036C,,UCD
UNARTICULATED,CSE 12,,UCSC
UNARTICULATED,CSE 16,,UCSC
UNARTICULATED,CSE 20,,UCSD
