Semester,Course,Credits,UCs Fulfilled
1,MATH 3A,5.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 3B,5.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 3C,5.0,UCB; UCD; UCLA; UCM; UCSD
2,CIS 6,5.0,UCR
2,CIS 11,4.0,UCD; UCSB; UCSD
2,CIS 33,4.0,UCD; UCR; UCSD
2,CIS 7,4.0,UCR
3,MATH 3E,3.0,UCB; UCLA; UCM; UCSB; UCSD
3,MATH 3F,3.0,UCB; UCLA; UCM; UCSB
UNARTICULATED,ECS 036A,,UCD
UNARTICULATED,ECS 036C,,UCD
UNARTICULATED,ECS 050,,UCD
UNARTICULATED,I&C SCI 31; I&C SCI 32; I&C SCI 33,,UCI
UNARTICULATED,COM SCI 31,,UCLA
UNARTICULATED,CSE 030,,UCM
UNARTICULATED,CMPSC 16,,UCSB
UNARTICULATED,CMPSC 24,,UCSB
UNARTICULATED,CSE 12,,UCSC
UNARTICULATED,CSE 16,,UCSC
UNARTICULATED,CSE 30,,UCSC
UNARTICULATED,CSE 12,,UCSD
