Semester,Course,Credits,UCs Fulfilled
1,MAT 003A,5.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MAT 003B,5.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MAT 004A,5.0,UCB; UCLA; UCM; UCSD
2,MAT 003AH,5.0,UCLA
2,MAT 004B,4.0,UCB; UCLA; UCM; UCSB
2,MAT 004C,4.0,UCB; UCLA; UCM; UCSB; UCSD
2,CIS 044,4.0,UCD; UCI; UCM; UCSD
3,MAT 019,4.0,UCD; UCSB; UCSC; UCSD
3,CIS 037A,4.0,UCD; UCR; UCSB
3,CIS 043,4.0,UCD; UCI
3,CIS 039,4.0,UCD; UCSC
4,EGR 030,4.0,UCLA; UCR
4,CIS 008,4.0,UCSC
UNARTICULATED,MAT 021C,,UCD
UNARTICULATED,CMPSC 24,,UCSB
UNARTICULATED,CSE 12,,UCSD
