Semester,Course,Credits,UCs Fulfilled
1,MATH 171,5.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 173,5.0,UCB; UCD; UCLA; UCM; UCSD
1,MATH 172,4.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 191,3.0,UCB; UCLA; UCM; UCSB; UCSD
2,MATH 193,3.0,UCB; UCLA; UCM; UCSB
2,CSCI 204,3.0,UCD; UCSB; UCSC
2,CSCI 271,3.0,UCD; UCI; UCR
2,CSCI 272,3.0,UCD; UCI; UCM; UCR; UCSC; UCSD
2,CSCI 273,3.0,UCD; UCSC
UNARTICULATED,ECS 036C,,UCD
UNARTICULATED,COM SCI 31,,UCLA
UNARTICULATED,CMPSC 16,,UCSB
UNARTICULATED,CMPSC 24,,UCSB
UNARTICULATED,CSE 20,,UCSD
UNARTICULATED,CSE 8B,,UCSD
