Semester,Course,Credits,UCs Fulfilled
1,MATH M25A,5.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC
1,MATH M25B,5.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC
1,MATH M25C,5.0,UCB; UCD; UCLA; UCM; UCSD
2,CS M10J,4.0,UCSD
2,MATH M31,3.0,UCB; UCLA; UCM; UCSB; UCSD
2,MATH M35,3.0,UCB; UCLA; UCM; UCSB
2,CS M155,3.0,UCD; UCSB; UCSC
2,CS M135,3.0,UCD; UCI; UCM; UCSB; UCSD
3,CS M145,3.0,UCD; UCSC
3,CS M125,3.0,UCI; UCLA; UCR; UCSB
3,MATH M16A,3.0,UCSD
3,MATH M16B,3.0,UCSD
3,MATH M21,3.0,UCSD
UNARTICULATED,ECS 036A,,UCD
UNARTICULATED,ECS 036C,,UCD
UNARTICULATED,CS 10B,,UCR
UNARTICULATED,CSE 30,,UCSC
