Semester,Course,Credits,UCs Fulfilled
1,MAT 1A,4.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MAT 1B,4.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MAT 2,4.0,UCB; UCLA; UCM; UCSB
1,MAT 1C,4.0,UCB; UCD; UCLA; UCM; UCSD
2,CIS 5,4.0,UCLA; UCR; UCSB
2,MAT 3,3.0,UCB; UCLA; UCM; UCSB; UCSD
2,CIS 7,3.0,UCD; UCSB; UCSC; UCSD
2,CIS 17A,3.0,UCD; UCI; UCSC
2,CIS 17B,3.0,UCI
3,CIS 17C,3.0,UCM; UCR; UCSB
3,CIS 18B,3.0,UCSD
UNARTICULATED,ECS 036A,,UCD
UNARTICULATED,ECS 036C,,UCD
UNARTICULATED,ECS 050,,UCD
UNARTICULATED,CSE 12,,UCSC
UNARTICULATED,CSE 12,,UCSD
