Semester,Course,Credits,UCs Fulfilled
1,MATH 280,5.0,UCB; UCD; UCLA; UCM; UCSD
1,MATH 285,5.0,UCLA; UCM; UCSD
1,CSCI 240,5.0,UCM
2,MATH 180,4.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
2,MATH 181,4.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
2,ENGR 285,4.0,UCB
2,CSCI 190,4.0,UCD; UCSB; UCSC; UCSD
3,CSCI 140,4.0,UCD; UCLA; UCSB; UCSD
3,MATH 290,4.0,UCSB
3,CSCI 145,4.0,UCSD
3,CSCI 110,3.5,UCR
4,CSCI 150,3.5,UCSC
4,CSCI 220,3.5,UCSC
4,CISP 31,3.0,UCD
4,MATH 260,3.0,UCLA; UCSB
4,CISP 21,3.0,UCR
5,CISP 34,3.0,UCSB
5,CISP 34L,0.5,UCSB
UNARTICULATED,ECS 036C,,UCD
UNARTICULATED,ECS 050,,UCD
UNARTICULATED,I&C SCI 31; I&C SCI 32; I&C SCI 33,,UCI
