Semester,Course,Credits,UCs Fulfilled
1,MATH 120,5.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 121,5.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 221,5.0,UCB; UCD; UCLA; UCM; UCSD
1,MATH 220,3.0,UCB; UCLA; UCM; UCSB; UCSD
2,MATH 222,3.0,UCB; UCLA; UCM; UCSB
2,COMS 215,3.0,UCD; UCR; UCSB
2,COMS 216,3.0,UCD; UCM; UCSC
2,COMS 218,3.0,UCSB
UNARTICULATED,ECS 020,,UCD
UNARTICULATED,ECS 036C,,UCD
UNARTICULATED,ECS 050,,UCD
UNARTICULATED,I&C SCI 31; I&C SCI 32; I&C SCI 33,,UCI
UNARTICULATED,COM SCI 31,,UCLA
UNARTICULATED,CS 10B,,UCR
UNARTICULATED,CMPSC 24,,UCSB
UNARTICULATED,CSE 12,,UCSC
UNARTICULATED,CSE 16,,UCSC
UNARTICULATED,CSE 12,,UCSD
UNARTICULATED,CSE 20,,UCSD
UNARTICULATED,CSE 8B,,UCSD
