Semester,Course,Credits,UCs Fulfilled
1,MATH 101A,5.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 101B,5.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 104,5.0,UCB; UCLA; UCM; UCSB
2,MATH 101C,5.0,UCB; UCD; UCLA; UCM; UCSD
2,CS 116,4.0,UCD; UCR
2,CS 170,4.0,UCSD
2,MATH 103,3.0,UCB; UCLA; UCM; UCSB; UCSD
3,CS 124,3.0,UCD; UCM; UCSB; UCSC; UCSD
3,CS 113,3.0,UCD; UCSB; UCSC; UCSD
3,CS 102,3.0,UCD; UCLA; UCR; UCSB
3,CS 118,3.0,UCD; UCSC
UNARTICULATED,I&C SCI 31; I&C SCI 32; I&C SCI 33,,UCI
