Semester,Course,Credits,UCs Fulfilled
1,MAT 220,5.0,UCSD
,,,
UNARTICULATED,CMPSC 16,,UCSB
UNARTICULATED,CMPSC 24,,UCSB
UNARTICULATED,CMPSC 40,,UCSB
UNARTICULATED,MATH 3A,,UCSB
UNARTICULATED,MATH 3B,,UCSB
UNARTICULATED,MATH 4A,,UCSB
UNARTICULATED,MATH 4B,,UCSB
UNARTICULATED,CSE 12,,UCSC
UNARTICULATED,CSE 16,,UCSC
UNARTICULATED,CSE 30,,UCSC
UNARTICULATED,MATH 19A,,UCSC
UNARTICULATED,MATH 19B,,UCSC
UNARTICULATED,CSE 12,,UCSD
UNARTICULATED,CSE 20,,UCSD
UNARTICULATED,CSE 8B,,UCSD
UNARTICULATED,MATH 18,,UCSD
UNARTICULATED,MATH 20B,,UCSD
UNARTICULATED,MATH 20C,,UCSD
