Semester,Course,Credits,UCs Fulfilled
1,MATH 140,5.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 140E,5.0,UCI; UCLA
1,MATH 141,4.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 206,4.0,UCB; UCLA; UCM; UCSB
2,MATH 205,4.0,UCB; UCD; UCLA; UCM; UCSD
2,CSCI 210,4.0,UCD; UCI; UCM; UCSB; UCSC; UCSD
2,CSCI 112,4.0,UCD; UCR; UCSB
2,CSCI 222,4.0,UCD; UCLA; UCR; UCSB
3,CSCI 212,4.0,UCD; UCSC
3,MATH 141E,4.0,UCI; UCLA
3,CSCI 114,4.0,UCI; UCSD
3,MATH 200,3.0,UCB; UCLA; UCM; UCSB; UCSD
3,MATH 245,3.0,UCD; UCSB; UCSC; UCSD
