Semester,Course,Credits,UCs Fulfilled
1,MATH 005A,5.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 005B,5.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 005C,5.0,UCB; UCD; UCLA; UCM; UCSD
2,CS 045,5.0,UCD; UCSB; UCSC
2,MATH 005AH,5.0,UCI
2,MATH 055,4.0,UCB; UCLA; UCM; UCSB
2,MATH 010,4.0,UCB; UCLA; UCM; UCSB; UCSD
3,CS 002,4.0,UCD; UCI; UCR; UCSB
3,CS 003A,4.0,UCD; UCLA; UCSB
3,CS 066,4.0,UCD; UCSC
3,BUS 014B,4.0,UCI
4,CS 003B,4.0,UCI; UCSD
4,CS 008,4.0,UCM; UCSB; UCSC; UCSD
4,MATH 022,4.0,UCSD
4,MATH 006A,3.0,UCI
4,CIS 014,3.0,UCR
UNARTICULATED,ECS 036C,,UCD
