Semester,Course,Credits,UCs Fulfilled
1,MATH P103,4.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH P104,4.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH P207,4.0,UCB; UCLA; UCM; UCSB
1,MATH P208,4.0,UCB; UCLA; UCM; UCSB; UCSD
2,MATH P205,4.0,UCB; UCD; UCLA; UCM; UCSD
2,ENGR P120,4.0,UCLA
2,ENGR P132,3.0,UCLA; UCSB
UNARTICULATED,ECS 020,,UCD
UNARTICULATED,ECS 036A,,UCD
UNARTICULATED,ECS 036B,,UCD
UNARTICULATED,ECS 036C,,UCD
UNARTICULATED,ECS 050,,UCD
UNARTICULATED,I&C SCI 31; I&C SCI 32; I&C SCI 33,,UCI
UNARTICULATED,CSE 030,,UCM
UNARTICULATED,CS 10A,,UCR
UNARTICULATED,CS 10B,,UCR
UNARTICULATED,CMPSC 24,,UCSB
UNARTICULATED,CMPSC 40,,UCSB
UNARTICULATED,CSE 12,,UCSC
UNARTICULATED,CSE 16,,UCSC
UNARTICULATED,CSE 30,,UCSC
UNARTICULATED,CSE 12,,UCSD
UNARTICULATED,CSE 20,,UCSD
UNARTICULATED,CSE 8B,,UCSD
